round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;player_id;context;prev;prev_player;prev_opp
1;s10n5usuario1;D;s10n5usuario7;C;4;108.907.001.019;10862;fix;s10n5;84;--;--;;
2;s10n5usuario1;D;s10n5usuario7;D;1;530.509.996.414;5274;fix;s10n5;84;DCD;DC;D;C
3;s10n5usuario1;C;s10n5usuario7;D;0;767.849.993.706;7649;fix;s10n5;84;DDC;DD;D;D
4;s10n5usuario1;D;s10n5usuario7;C;4;10.229.899.883.299.900;10207;fix;s10n5;84;CDD;CD;C;D
5;s10n5usuario1;D;s10n5usuario7;C;4;38.478.000.164.000.000;3821;fix;s10n5;84;DCD;DC;D;C
6;s10n5usuario1;C;s10n5usuario7;D;0;112.267.000.675;11200;fix;s10n5;84;DCC;DC;D;C
7;s10n5usuario1;D;s10n5usuario7;D;1;421.930.003.166;4195;fix;s10n5;84;CDD;CD;C;D
8;s10n5usuario1;D;s10n5usuario7;C;4;208.920.001.984;2064;fix;s10n5;84;DDD;DD;D;D
9;s10n5usuario1;C;s10n5usuario7;D;0;573.839.998.245;5709;fix;s10n5;84;DCC;DC;D;C
10;s10n5usuario1;D;s10n5usuario7;C;4;412.879.991.531;4069;fix;s10n5;84;CDD;CD;C;D
11;s10n5usuario1;C;s10n5usuario7;D;0;13.432.199.955.000.000;13402;fix;s10n5;84;DCC;DC;D;C
12;s10n5usuario1;D;s10n5usuario7;D;1;147.009.992.599;1445;fix;s10n5;84;CDD;CD;C;D
13;s10n5usuario1;D;s10n5usuario7;C;4;175.760.006.905;1731;fix;s10n5;84;DDD;DD;D;D
14;s10n5usuario1;D;s10n5usuario7;C;4;209.309.983.253;2065;fix;s10n5;84;DCD;DC;D;C
15;s10n5usuario1;D;s10n5usuario7;C;4;190.930.008.888;1884;fix;s10n5;84;DCD;DC;D;C
16;s10n5usuario1;D;s10n5usuario7;D;1;274.520.015.717;2722;fix;s10n5;84;DCD;DC;D;C
17;s10n5usuario1;D;s10n5usuario7;D;1;279.170.012.474;2765;fix;s10n5;84;DDD;DD;D;D
18;s10n5usuario1;C;s10n5usuario7;D;0;362.600.016.594;3597;fix;s10n5;84;DDC;DD;D;D
19;s10n5usuario1;D;s10n5usuario7;C;4;478.299.999.237;4756;fix;s10n5;84;CDD;CD;C;D
20;s10n5usuario1;C;s10n5usuario7;D;0;556.799.983.978;5504;fix;s10n5;84;DCC;DC;D;C
21;s10n5usuario1;D;s10n5usuario7;D;1;128.219.985.962;1254;fix;s10n5;84;CDD;CD;C;D
22;s10n5usuario1;D;s10n5usuario7;D;1;876.600.027.084;850;fix;s10n5;84;DDD;DD;D;D
23;s10n5usuario1;D;s10n5usuario7;C;4;63.625.998.497;6335;fix;s10n5;84;DDD;DD;D;D
24;s10n5usuario1;D;s10n5usuario7;D;1;811.059.999.466;8078;fix;s10n5;84;DCD;DC;D;C
25;s10n5usuario1;D;s10n5usuario7;D;1;534.150.004.387;5302;fix;s10n5;84;DDD;DD;D;D
26;s10n5usuario1;D;s10n5usuario7;C;4;487.669.992.447;4831;fix;s10n5;84;DDD;DD;D;D
27;s10n5usuario1;D;s10n5usuario7;C;4;261.840.009.689;2590;fix;s10n5;84;DCD;DC;D;C
28;s10n5usuario1;D;s10n5usuario7;D;1;290.869.998.932;2864;fix;s10n5;84;DCD;DC;D;C
29;s10n5usuario1;D;s10n5usuario7;D;1;632.500.004.768;6302;fix;s10n5;84;DDD;DD;D;D
30;s10n5usuario1;D;s10n5usuario7;D;1;376.859.998.703;3739;fix;s10n5;84;DDD;DD;D;D
31;s10n5usuario1;D;s10n5usuario7;C;4;808.789.992.332;8017;fix;s10n5;84;DDD;DD;D;D
32;s10n5usuario1;D;s10n5usuario7;C;4;402.209.997.177;3994;fix;s10n5;84;DCD;DC;D;C
33;s10n5usuario1;C;s10n5usuario7;C;3;493.379.998.207;4909;fix;s10n5;84;DCC;DC;D;C
34;s10n5usuario1;D;s10n5usuario7;C;4;227.259.993.553;2248;fix;s10n5;84;CCD;CC;C;C
35;s10n5usuario1;D;s10n5usuario7;D;1;238.229.990.005;2355;fix;s10n5;84;DCD;DC;D;C
36;s10n5usuario1;D;s10n5usuario7;D;1;347.270.011.902;3449;fix;s10n5;84;DDD;DD;D;D
37;s10n5usuario1;D;s10n5usuario7;D;1;11.764.998.435.999.900;1150;fix;s10n5;84;DDD;DD;D;D
38;s10n5usuario1;D;s10n5usuario7;D;1;128.439.998.627;1253;fix;s10n5;84;DDD;DD;D;D
39;s10n5usuario1;D;s10n5usuario7;D;1;961.000.204.086;937;fix;s10n5;84;DDD;DD;D;D
40;s10n5usuario1;C;s10n5usuario7;D;0;567.300.081.253;542;fix;s10n5;84;DDC;DD;D;D
41;s10n5usuario1;D;s10n5usuario7;D;1;364.950.013.161;3620;fix;s10n5;84;CDD;CD;C;D
42;s10n5usuario1;D;s10n5usuario7;D;1;134.440.016.747;1319;fix;s10n5;84;DDD;DD;D;D
43;s10n5usuario1;D;s10n5usuario7;D;1;699.599.981.308;674;fix;s10n5;84;DDD;DD;D;D
44;s10n5usuario1;D;s10n5usuario7;D;1;623.300.075.531;594;fix;s10n5;84;DDD;DD;D;D
45;s10n5usuario1;D;s10n5usuario7;D;1;10.193.500.042;10171;fix;s10n5;84;DDD;DD;D;D
46;s10n5usuario1;D;s10n5usuario7;C;4;795.099.973.679;768;fix;s10n5;84;DDD;DD;D;D
47;s10n5usuario1;D;s10n5usuario7;C;4;305.489.993.095;3029;fix;s10n5;84;DCD;DC;D;C
48;s10n5usuario1;D;s10n5usuario7;C;4;181.859.993.935;1789;fix;s10n5;84;DCD;DC;D;C
49;s10n5usuario1;D;s10n5usuario7;C;4;77.634.999.752;7729;fix;s10n5;84;DCD;DC;D;C
50;s10n5usuario1;D;s10n5usuario7;D;1;23.396.999.836;2312;fix;s10n5;84;DCD;DC;D;C
51;s10n5usuario1;D;s10n5usuario7;D;1;389.689.993.858;3871;fix;s10n5;84;DDD;DD;D;D
52;s10n5usuario1;D;s10n5usuario7;D;1;125.189.995.766;1222;fix;s10n5;84;DDD;DD;D;D
53;s10n5usuario1;D;s10n5usuario7;D;1;540.610.003.471;5376;fix;s10n5;84;DDD;DD;D;D
54;s10n5usuario1;D;s10n5usuario7;D;1;115.459.990.501;1128;fix;s10n5;84;DDD;DD;D;D
55;s10n5usuario1;D;s10n5usuario7;D;1;91.420.006.752;858;fix;s10n5;84;DDD;DD;D;D
56;s10n5usuario1;D;s10n5usuario7;D;1;8.499.000.072.480.000;826;fix;s10n5;84;DDD;DD;D;D
57;s10n5usuario1;D;s10n5usuario7;D;1;7.397.000.789.639.990;715;fix;s10n5;84;DDD;DD;D;D
58;s10n5usuario1;D;s10n5usuario7;D;1;930.250.000.954;9275;fix;s10n5;84;DDD;DD;D;D
59;s10n5usuario1;D;s10n5usuario7;D;1;898.580.002.785;8956;fix;s10n5;84;DDD;DD;D;D
60;s10n5usuario1;D;s10n5usuario7;D;1;313.720.011.711;3109;fix;s10n5;84;DDD;DD;D;D
61;s10n5usuario1;D;s10n5usuario7;D;1;112.871.999.741;11258;fix;s10n5;84;DDD;DD;D;D
62;s10n5usuario1;D;s10n5usuario7;D;1;199.140.000.343;1964;fix;s10n5;84;DDD;DD;D;D
63;s10n5usuario1;D;s10n5usuario7;D;1;11.447.799.921;11427;fix;s10n5;84;DDD;DD;D;D
64;s10n5usuario1;D;s10n5usuario7;D;1;832.000.017.166;806;fix;s10n5;84;DDD;DD;D;D
65;s10n5usuario1;D;s10n5usuario7;D;1;883.300.065.994;858;fix;s10n5;84;DDD;DD;D;D
66;s10n5usuario1;D;s10n5usuario7;D;1;543.299.913.406;518;fix;s10n5;84;DDD;DD;D;D
67;s10n5usuario1;D;s10n5usuario7;D;1;39.061.999.321.000.000;3871;fix;s10n5;84;DDD;DD;D;D
68;s10n5usuario1;D;s10n5usuario7;C;4;109.270.000.458;1065;fix;s10n5;84;DDD;DD;D;D
69;s10n5usuario1;D;s10n5usuario7;C;4;56.719.994.545;539;fix;s10n5;84;DCD;DC;D;C
70;s10n5usuario1;D;s10n5usuario7;C;4;398.479.986.191;3959;fix;s10n5;84;DCD;DC;D;C
71;s10n5usuario1;D;s10n5usuario7;C;4;833.699.941.635;804;fix;s10n5;84;DCD;DC;D;C
72;s10n5usuario1;D;s10n5usuario7;D;1;576.099.872.589;549;fix;s10n5;84;DCD;DC;D;C
73;s10n5usuario1;D;s10n5usuario7;D;1;691.699.981.689;664;fix;s10n5;84;DDD;DD;D;D
74;s10n5usuario1;D;s10n5usuario7;D;1;709.399.938.583;690;fix;s10n5;84;DDD;DD;D;D
