round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;context;prev;prev_player;prev_opp
1;s11n9usuario1;C;s11n9usuario10;C;3;551.989.984.512;5485;rand;s11n9;--;--;;
2;s11n9usuario1;C;s11n9usuario10;D;0;862.049.984.932;8561;rand;s11n9;CCC;CC;C;C
3;s11n9usuario1;C;s11n9usuario7;C;3;351.769.995.689;3491;rand;s11n9;CDC;CD;C;D
4;s11n9usuario1;C;s11n9usuario8;D;0;251.850.008.965;2491;rand;s11n9;CCC;CC;C;C
5;s11n9usuario1;C;s11n9usuario7;C;3;275.959.992.409;2732;rand;s11n9;CDC;CD;C;D
6;s11n9usuario1;C;s11n9usuario3;C;3;234.809.994.698;2324;rand;s11n9;CCC;CC;C;C
7;s11n9usuario1;C;s11n9usuario8;D;0;230.509.996.414;2280;rand;s11n9;CCC;CC;C;C
8;s11n9usuario1;C;s11n9usuario7;D;0;244.280.004.501;2411;rand;s11n9;CDC;CD;C;D
9;s11n9usuario1;D;s11n9usuario3;D;1;213.030.004.501;2105;rand;s11n9;CDD;CD;C;D
10;s11n9usuario1;D;s11n9usuario8;C;4;223.629.999.161;2211;rand;s11n9;DDD;DD;D;D
11;s11n9usuario1;C;s11n9usuario4;D;0;340.260.004.997;3375;rand;s11n9;DCC;DC;D;C
12;s11n9usuario1;D;s11n9usuario9;D;1;228.820.014;2262;rand;s11n9;CDD;CD;C;D
13;s11n9usuario1;D;s11n9usuario7;D;1;127.099.990.845;1246;rand;s11n9;DDD;DD;D;D
14;s11n9usuario1;D;s11n9usuario2;C;4;178.250.002.861;1756;rand;s11n9;DDD;DD;D;D
15;s11n9usuario1;D;s11n9usuario9;D;1;327.379.989.624;3246;rand;s11n9;DCD;DC;D;C
16;s11n9usuario1;D;s11n9usuario5;D;1;321.970.009.804;3199;rand;s11n9;DDD;DD;D;D
17;s11n9usuario1;D;s11n9usuario3;C;4;684.940.004.349;6817;rand;s11n9;DDD;DD;D;D
18;s11n9usuario1;D;s11n9usuario4;C;4;739.730.000.496;7368;rand;s11n9;DCD;DC;D;C
19;s11n9usuario1;D;s11n9usuario2;D;1;266.240.000.725;2637;rand;s11n9;DCD;DC;D;C
20;s11n9usuario1;C;s11n9usuario10;D;0;159.940.004.349;1572;rand;s11n9;DDC;DD;D;D
21;s11n9usuario1;C;s11n9usuario6;C;3;94.269.990.921;911;rand;s11n9;CDC;CD;C;D
22;s11n9usuario1;D;s11n9usuario2;D;1;331.999.993.324;3301;rand;s11n9;CCD;CC;C;C
23;s11n9usuario1;C;s11n9usuario6;D;0;199.379.992.485;1968;rand;s11n9;DDC;DD;D;D
24;s11n9usuario1;D;s11n9usuario6;C;4;251.069.998.741;2490;rand;s11n9;CDD;CD;C;D
25;s11n9usuario1;D;s11n9usuario3;C;4;195.350.003.242;1929;rand;s11n9;DCD;DC;D;C
26;s11n9usuario1;D;s11n9usuario10;D;1;234.669.995.308;2319;rand;s11n9;DCD;DC;D;C
27;s11n9usuario1;C;s11n9usuario10;D;0;338.529.992.104;3366;rand;s11n9;DDC;DD;D;D
28;s11n9usuario1;C;s11n9usuario4;C;3;193.370.008.469;1910;rand;s11n9;CDC;CD;C;D
29;s11n9usuario1;D;s11n9usuario4;C;4;288.900.017.738;2865;rand;s11n9;CCD;CC;C;C
30;s11n9usuario1;C;s11n9usuario2;D;0;223.210.000.992;2205;rand;s11n9;DCC;DC;D;C
31;s11n9usuario1;C;s11n9usuario4;C;3;172.200.012.207;1696;rand;s11n9;CDC;CD;C;D
32;s11n9usuario1;C;s11n9usuario7;C;3;244.749.999.046;2422;rand;s11n9;CCC;CC;C;C
33;s11n9usuario1;C;s11n9usuario3;D;0;115.020.012.856;1120;rand;s11n9;CCC;CC;C;C
34;s11n9usuario1;C;s11n9usuario3;D;0;935.199.975.967;905;rand;s11n9;CDC;CD;C;D
35;s11n9usuario1;D;s11n9usuario5;D;1;257.699.990.273;2558;rand;s11n9;CDD;CD;C;D
36;s11n9usuario1;D;s11n9usuario9;C;4;137.670.016.289;1348;rand;s11n9;DDD;DD;D;D
37;s11n9usuario1;D;s11n9usuario2;D;1;259.710.001.945;2573;rand;s11n9;DCD;DC;D;C
38;s11n9usuario1;D;s11n9usuario7;C;4;151.789.999.008;1490;rand;s11n9;DDD;DD;D;D
39;s11n9usuario1;D;s11n9usuario7;C;4;115.969.991.684;1133;rand;s11n9;DCD;DC;D;C
40;s11n9usuario1;D;s11n9usuario5;D;1;119.679.999.352;1167;rand;s11n9;DCD;DC;D;C
41;s11n9usuario1;D;s11n9usuario9;D;1;109.019.994.736;1064;rand;s11n9;DDD;DD;D;D
42;s11n9usuario1;C;s11n9usuario4;C;3;104.479.980.469;1015;rand;s11n9;DDC;DD;D;D
43;s11n9usuario1;C;s11n9usuario5;D;0;842.400.074.005;818;rand;s11n9;CCC;CC;C;C
44;s11n9usuario1;C;s11n9usuario6;D;0;964.999.914.169;939;rand;s11n9;CDC;CD;C;D
45;s11n9usuario1;D;s11n9usuario4;D;1;187.029.981.613;1845;rand;s11n9;CDD;CD;C;D
46;s11n9usuario1;D;s11n9usuario8;D;1;980.700.016.022;952;rand;s11n9;DDD;DD;D;D
47;s11n9usuario1;D;s11n9usuario3;C;4;124.559.998.512;1221;rand;s11n9;DDD;DD;D;D
48;s11n9usuario1;D;s11n9usuario8;D;1;953.099.966.049;925;rand;s11n9;DCD;DC;D;C
49;s11n9usuario1;D;s11n9usuario2;D;1;104.139.995.575;1015;rand;s11n9;DDD;DD;D;D
50;s11n9usuario1;D;s11n9usuario6;D;1;990.099.906.921;966;rand;s11n9;DDD;DD;D;D
51;s11n9usuario1;D;s11n9usuario7;D;1;269.589.996.338;2678;rand;s11n9;DDD;DD;D;D
52;s11n9usuario1;D;s11n9usuario7;D;1;165.269.994.736;1625;rand;s11n9;DDD;DD;D;D
53;s11n9usuario1;D;s11n9usuario7;D;1;869.899.988.174;843;rand;s11n9;DDD;DD;D;D
54;s11n9usuario1;D;s11n9usuario9;D;1;8.825.001.716.610.000;856;rand;s11n9;DDD;DD;D;D
55;s11n9usuario1;D;s11n9usuario10;D;1;11.388.001.442;1086;rand;s11n9;DDD;DD;D;D
56;s11n9usuario1;D;s11n9usuario8;C;4;170.950.007.439;1686;rand;s11n9;DDD;DD;D;D
57;s11n9usuario1;D;s11n9usuario6;C;4;662.609.982.491;6566;rand;s11n9;DCD;DC;D;C
58;s11n9usuario1;D;s11n9usuario7;D;1;170.079.994.202;1675;rand;s11n9;DCD;DC;D;C
59;s11n9usuario1;D;s11n9usuario2;D;1;85.909.986.496;835;rand;s11n9;DDD;DD;D;D
60;s11n9usuario1;D;s11n9usuario10;D;1;123.979.997.635;1195;rand;s11n9;DDD;DD;D;D
61;s11n9usuario1;D;s11n9usuario6;D;1;828.649.997.711;8256;rand;s11n9;DDD;DD;D;D
62;s11n9usuario1;D;s11n9usuario9;D;1;91.739.988.327;885;rand;s11n9;DDD;DD;D;D
63;s11n9usuario1;D;s11n9usuario4;C;4;38.138.999.939.000.000;3784;rand;s11n9;DDD;DD;D;D
64;s11n9usuario1;D;s11n9usuario2;C;4;155.439.996.719;1526;rand;s11n9;DCD;DC;D;C
65;s11n9usuario1;D;s11n9usuario3;D;1;115.050.005.913;1124;rand;s11n9;DCD;DC;D;C
66;s11n9usuario1;D;s11n9usuario6;C;4;117.079.997.063;1144;rand;s11n9;DDD;DD;D;D
67;s11n9usuario1;D;s11n9usuario9;D;1;190.019.989.014;1871;rand;s11n9;DCD;DC;D;C
68;s11n9usuario1;D;s11n9usuario6;C;4;166.980.004.311;1645;rand;s11n9;DDD;DD;D;D
69;s11n9usuario1;D;s11n9usuario9;D;1;1000.0;973;rand;s11n9;DCD;DC;D;C
70;s11n9usuario1;D;s11n9usuario3;C;4;111.940.002.441;1096;rand;s11n9;DDD;DD;D;D
71;s11n9usuario1;D;s11n9usuario9;D;1;214.459.991.455;2121;rand;s11n9;DCD;DC;D;C
72;s11n9usuario1;D;s11n9usuario8;C;4;104.699.993.134;1019;rand;s11n9;DDD;DD;D;D
73;s11n9usuario1;D;s11n9usuario6;C;4;106.830.000.877;1041;rand;s11n9;DCD;DC;D;C
74;s11n9usuario1;D;s11n9usuario5;D;1;103.469.991.684;989;rand;s11n9;DCD;DC;D;C
75;s11n9usuario1;D;s11n9usuario10;D;1;80.579.996.109;776;rand;s11n9;DDD;DD;D;D
76;s11n9usuario1;D;s11n9usuario4;C;4;207.229.995.728;2043;rand;s11n9;DDD;DD;D;D
77;s11n9usuario1;D;s11n9usuario6;D;1;148.640.012.741;1457;rand;s11n9;DCD;DC;D;C
78;s11n9usuario1;D;s11n9usuario3;D;1;8.645.000.457.760.000;842;rand;s11n9;DDD;DD;D;D
79;s11n9usuario1;D;s11n9usuario3;C;4;102.069.997.787;996;rand;s11n9;DDD;DD;D;D
80;s11n9usuario1;D;s11n9usuario9;C;4;104.530.000.687;1020;rand;s11n9;DCD;DC;D;C
81;s11n9usuario1;D;s11n9usuario5;D;1;153.560.018.539;1511;rand;s11n9;DCD;DC;D;C
82;s11n9usuario1;C;s11n9usuario7;D;0;131.970.000.267;1300;rand;s11n9;DDC;DD;D;D
83;s11n9usuario1;C;s11n9usuario7;C;3;114.880.013.466;1125;rand;s11n9;CDC;CD;C;D
84;s11n9usuario1;C;s11n9usuario5;D;0;10.962.998.867;1080;rand;s11n9;CCC;CC;C;C
85;s11n9usuario1;D;s11n9usuario4;C;4;13.248.000.145;1297;rand;s11n9;CDD;CD;C;D
86;s11n9usuario1;D;s11n9usuario10;D;1;583.300.113.678;558;rand;s11n9;DCD;DC;D;C
87;s11n9usuario1;D;s11n9usuario5;D;1;855.399.847.031;829;rand;s11n9;DDD;DD;D;D
88;s11n9usuario1;D;s11n9usuario10;D;1;113.120.007.515;1107;rand;s11n9;DDD;DD;D;D
89;s11n9usuario1;D;s11n9usuario5;D;1;139.289.999.008;1367;rand;s11n9;DDD;DD;D;D
90;s11n9usuario1;D;s11n9usuario4;D;1;7.170.999.050.139.990;697;rand;s11n9;DDD;DD;D;D
91;s11n9usuario1;D;s11n9usuario7;C;4;624.400.138.855;599;rand;s11n9;DDD;DD;D;D
92;s11n9usuario1;D;s11n9usuario9;D;1;103.540.015.221;1007;rand;s11n9;DCD;DC;D;C
93;s11n9usuario1;D;s11n9usuario6;C;4;549.400.091.171;526;rand;s11n9;DDD;DD;D;D
94;s11n9usuario1;D;s11n9usuario2;C;4;539.800.167.084;511;rand;s11n9;DCD;DC;D;C
95;s11n9usuario1;D;s11n9usuario7;D;1;743.499.994.278;716;rand;s11n9;DCD;DC;D;C
96;s11n9usuario1;D;s11n9usuario2;D;1;152.799.987.793;1503;rand;s11n9;DDD;DD;D;D
97;s11n9usuario1;D;s11n9usuario8;D;1;642.300.128.937;618;rand;s11n9;DDD;DD;D;D
98;s11n9usuario1;D;s11n9usuario8;D;1;6.225.001.811.980.000;596;rand;s11n9;DDD;DD;D;D
99;s11n9usuario1;D;s11n9usuario9;D;1;651.500.225.067;632;rand;s11n9;DDD;DD;D;D
100;s11n9usuario1;D;s11n9usuario8;D;1;480.399.847.031;453;rand;s11n9;DDD;DD;D;D
1;s11n9usuario10;C;s11n9usuario1;C;3;403.949.999.809;4011;rand;s11n9;--;--;;
2;s11n9usuario10;D;s11n9usuario1;C;4;599.149.990.082;5963;rand;s11n9;CCD;CC;C;C
3;s11n9usuario10;D;s11n9usuario2;D;1;76.984.000.206;7648;rand;s11n9;DCD;DC;D;C
4;s11n9usuario10;D;s11n9usuario6;D;1;769.779.992.104;7664;rand;s11n9;DDD;DD;D;D
5;s11n9usuario10;C;s11n9usuario2;D;0;802.760.004.997;7996;rand;s11n9;DDC;DD;D;D
6;s11n9usuario10;D;s11n9usuario6;C;4;468.400.001.526;4655;rand;s11n9;CDD;CD;C;D
7;s11n9usuario10;D;s11n9usuario5;D;1;466.869.997.978;4638;rand;s11n9;DCD;DC;D;C
8;s11n9usuario10;D;s11n9usuario9;D;1;506.139.993.668;5029;rand;s11n9;DDD;DD;D;D
9;s11n9usuario10;C;s11n9usuario5;D;0;71.388.001.442;7104;rand;s11n9;DDC;DD;D;D
10;s11n9usuario10;D;s11n9usuario9;C;4;325.729.990.005;3238;rand;s11n9;CDD;CD;C;D
11;s11n9usuario10;D;s11n9usuario5;D;1;195.840.001.106;1931;rand;s11n9;DCD;DC;D;C
12;s11n9usuario10;D;s11n9usuario3;D;1;287.779.998.779;2851;rand;s11n9;DDD;DD;D;D
13;s11n9usuario10;D;s11n9usuario3;C;4;159.636.001.587;15929;rand;s11n9;DDD;DD;D;D
14;s11n9usuario10;D;s11n9usuario5;D;1;620.289.993.286;6171;rand;s11n9;DCD;DC;D;C
15;s11n9usuario10;D;s11n9usuario4;D;1;603.180.003.166;6003;rand;s11n9;DDD;DD;D;D
16;s11n9usuario10;C;s11n9usuario8;C;3;419.019.985.199;4163;rand;s11n9;DDC;DD;D;D
17;s11n9usuario10;C;s11n9usuario2;D;0;579.999.995.232;5770;rand;s11n9;CCC;CC;C;C
18;s11n9usuario10;D;s11n9usuario8;D;1;236.290.001.869;2331;rand;s11n9;CDD;CD;C;D
19;s11n9usuario10;D;s11n9usuario3;D;1;377.559.995.651;3749;rand;s11n9;DDD;DD;D;D
20;s11n9usuario10;D;s11n9usuario1;C;4;349.370.002.747;3466;rand;s11n9;DDD;DD;D;D
21;s11n9usuario10;D;s11n9usuario8;C;4;297.519.993.782;2947;rand;s11n9;DCD;DC;D;C
22;s11n9usuario10;D;s11n9usuario6;C;4;181.529.998.779;1765;rand;s11n9;DCD;DC;D;C
23;s11n9usuario10;D;s11n9usuario4;C;4;262.120.008.469;2597;rand;s11n9;DCD;DC;D;C
24;s11n9usuario10;D;s11n9usuario8;D;1;183.839.988.708;1813;rand;s11n9;DCD;DC;D;C
25;s11n9usuario10;D;s11n9usuario9;D;1;169.039.988.518;1671;rand;s11n9;DDD;DD;D;D
26;s11n9usuario10;D;s11n9usuario1;D;1;294.779.992.104;2898;rand;s11n9;DDD;DD;D;D
27;s11n9usuario10;D;s11n9usuario1;C;4;471.020.007.133;4685;rand;s11n9;DDD;DD;D;D
28;s11n9usuario10;D;s11n9usuario8;C;4;362.160.015.106;3593;rand;s11n9;DCD;DC;D;C
29;s11n9usuario10;D;s11n9usuario8;D;1;19.061.999.321;1881;rand;s11n9;DCD;DC;D;C
30;s11n9usuario10;D;s11n9usuario3;D;1;200.259.995.461;1976;rand;s11n9;DDD;DD;D;D
31;s11n9usuario10;D;s11n9usuario9;D;1;354.670.000.076;3517;rand;s11n9;DDD;DD;D;D
32;s11n9usuario10;D;s11n9usuario4;C;4;272.739.982.605;2700;rand;s11n9;DDD;DD;D;D
33;s11n9usuario10;D;s11n9usuario4;C;4;211.759.996.414;2093;rand;s11n9;DCD;DC;D;C
34;s11n9usuario10;D;s11n9usuario7;C;4;168.989.992.142;1659;rand;s11n9;DCD;DC;D;C
35;s11n9usuario10;D;s11n9usuario6;D;1;141.469.979.286;1386;rand;s11n9;DCD;DC;D;C
36;s11n9usuario10;D;s11n9usuario7;C;4;120.020.008.087;1173;rand;s11n9;DDD;DD;D;D
37;s11n9usuario10;D;s11n9usuario3;D;1;154.239.988.327;1514;rand;s11n9;DCD;DC;D;C
38;s11n9usuario10;D;s11n9usuario5;D;1;143.079.996.109;1405;rand;s11n9;DDD;DD;D;D
39;s11n9usuario10;D;s11n9usuario8;D;1;166.840.004.921;1641;rand;s11n9;DDD;DD;D;D
40;s11n9usuario10;D;s11n9usuario7;C;4;914.499.998.093;884;rand;s11n9;DDD;DD;D;D
41;s11n9usuario10;D;s11n9usuario4;C;4;117.090.010.643;1146;rand;s11n9;DCD;DC;D;C
42;s11n9usuario10;D;s11n9usuario9;D;1;13.015.999.794.000.000;1275;rand;s11n9;DCD;DC;D;C
43;s11n9usuario10;D;s11n9usuario7;C;4;110.380.005.836;1070;rand;s11n9;DDD;DD;D;D
44;s11n9usuario10;D;s11n9usuario4;C;4;119.910.001.755;1173;rand;s11n9;DCD;DC;D;C
45;s11n9usuario10;D;s11n9usuario6;D;1;1.117.000.103;1090;rand;s11n9;DCD;DC;D;C
46;s11n9usuario10;D;s11n9usuario2;D;1;111.999.988.556;1092;rand;s11n9;DDD;DD;D;D
47;s11n9usuario10;D;s11n9usuario8;C;4;101.200.008.392;992;rand;s11n9;DDD;DD;D;D
48;s11n9usuario10;D;s11n9usuario6;D;1;165.190.005.302;1628;rand;s11n9;DCD;DC;D;C
49;s11n9usuario10;D;s11n9usuario9;D;1;161.450.004.578;1586;rand;s11n9;DDD;DD;D;D
50;s11n9usuario10;D;s11n9usuario9;D;1;113.489.985.466;1108;rand;s11n9;DDD;DD;D;D
51;s11n9usuario10;D;s11n9usuario2;D;1;161.649.990.082;1590;rand;s11n9;DDD;DD;D;D
52;s11n9usuario10;D;s11n9usuario3;C;4;183.399.987.221;1808;rand;s11n9;DDD;DD;D;D
53;s11n9usuario10;D;s11n9usuario9;C;4;123.379.993.439;1211;rand;s11n9;DCD;DC;D;C
54;s11n9usuario10;D;s11n9usuario2;D;1;101.550.006.866;986;rand;s11n9;DCD;DC;D;C
55;s11n9usuario10;D;s11n9usuario1;D;1;140.429.997.444;1380;rand;s11n9;DDD;DD;D;D
