parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.6420941772562718,0.07321065875111293,0.001371058230308733,2848.0111353497973,4397.7783051605775,1.001560986244112,,-1.790433498166666,-1.502459278342976
beta0[2],-5.8755602852429405,1.2072869490926006,0.04739116589410944,2939.5450992206856,1832.7286353268853,1.0029005243830984,,-7.436223921223826,-4.478925536390521
beta1[1],1.3768569467812022,0.10561287935846199,0.001882445200315821,3141.892802292814,4965.601602803984,1.0012163683285553,,1.1684794455651248,1.5812322935816108
beta1[2],23.10074783464724,28.77006402985909,1.584286349114524,1307.956277632239,960.8212994296719,1.0024016213709517,,7.63702158655297,50.67569663025072
beta2[1],1.1871529427011438,0.10145203231586837,0.0018547978815514122,3000.76531637967,3704.354019243578,1.0015598486361765,,0.9808729993618912,1.3796009387715933
beta2[2],1.0614384476643,1.201114511394107,0.016866177432171545,5388.537423035344,4815.391223568876,1.0011888312615753,,-1.271874595050882,3.380233746000885
beta3[1],0.8405611634191271,0.1507969447461178,0.002689221997011161,3144.0788646527576,4751.336565464353,1.0019316950242603,,0.5455350816728854,1.1312250224792846
beta3[2],1.2318394811947142,3.4103085952844614,0.10763446472419035,2104.8638182963127,906.6504687018233,1.007003414021328,,-4.329357286730451,8.335067679963604
trans[1, 1],0.9967465740816653,0.0012731211245007041,1.8253739187655055e-5,4284.72172048943,3934.1344148005232,1.0017100795565697,,0.9942225585397672,0.9989645543422151
trans[2, 1],0.003253425918334722,0.0012731211245007043,1.825373918765507e-5,4284.721720489433,3940.974403995146,1.0017117512162936,,0.0010354456577849058,0.005777441460232846
trans[1, 2],0.016693374182819447,0.002418182476749263,3.1911100827326536e-5,5515.591554200113,5882.870076860902,1.0004660689712537,,0.012029307199910244,0.021473755759656314
trans[2, 2],0.9833066258171804,0.002418182476749263,3.191110082732631e-5,5515.591554200113,5882.870076860904,1.0004660689712537,,0.9785262442403437,0.9879706928000898
init[1],0.9049688839441574,0.04159144916553224,0.0005135587964804394,5891.050716710592,4656.4928762825475,1.000983875484773,,0.8218882708198848,0.9810946058736211
init[2],0.09503111605584261,0.04159144916553224,0.0005135587964804397,5891.050716710589,4656.4928762825475,1.000983875484773,,0.018905394126378927,0.17811172918011517
pdd[1],0.16242609337376845,0.00995539601305092,0.00018714166399625768,2848.0111353497973,4397.7783051605775,1.0015627611821947,,0.14286487985256635,0.18187418444532397
pdd[2],0.0037559408134247465,0.0024020756621865352,3.801225212744675e-5,2939.5450992206856,1832.7286353268853,1.0029005243830984,,3.3943683739051884e-13,0.008330546509540567
pdc[1],0.3883331579331489,0.017644415955794145,0.00020712592713477697,7280.547232855321,6765.236326412884,1.0012566087245522,,0.3542705431868533,0.4229965602687123
pdc[2],0.013572273975355969,0.012004857655263991,0.00016060350702860258,3805.809533696609,2524.308904252197,1.0014652920986535,,2.0040741750715147e-12,0.037391987555240674
pcd[1],0.43417103753553865,0.018744700657428705,0.0002147188907508614,7612.065094793499,7390.431763048232,1.0008222286304387,,0.39798267090203826,0.4711696162767716
pcd[2],0.9983409621465744,0.004705051837803747,9.778990967226763e-5,1940.17058039968,NaN,1.0019730841607055,,0.989938011323616,1.0
pcc[1],0.8531848722569514,0.010884152117712228,0.00010121164062630068,11544.260970442527,11212.523386723298,1.0002573078386356,,0.8316683366936312,0.8738722721216993
pcc[2],0.9999370395217752,0.00016198307082442536,1.5676992993407306e-6,2344.1189108223934,NaN,1.0018814385911494,,0.9996457802118098,1.0
