parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-2.011333797679857,0.8097193624897459,0.14144206345496213,51.142941044225566,427.4243216165878,1.6432994369907847,,-3.2083528276591036,-1.1472086063648033
beta0[2],-2.658196397154127,1.5519506642525698,0.2718437779234765,51.01151447930302,412.1810666897731,1.6440819198723748,,-4.297564100264174,-0.49152198306482164
beta1[1],1.634601841876306,0.7403008306731084,0.12764585123489347,51.19164800327666,443.0987870435193,1.6429415286694913,,0.7946354855096883,2.8291347639955626
beta1[2],4.277373218463654,2.2366886231924714,0.38276077665762104,50.96191481330138,387.0429947680677,1.644405504605589,,1.197165682737095,7.085973010266668
beta2[1],1.534063223320631,0.7871731096987582,0.13614369397750856,51.062004408509935,424.7385383540746,1.6436368748268186,,0.6419994694976935,2.7764928764490207
beta2[2],0.8815922599726504,0.9035442127610395,0.14448729065901672,51.41668874650857,416.50220398309085,1.6355306793406117,,-0.4298036662716137,2.2236126275777393
beta3[1],1.9774009347398982,1.356351864668035,0.23416510821944006,51.25132845029078,384.8046433016858,1.6420689933623311,,0.594681643612585,4.2368537291454516
beta3[2],2.3655808936380853,1.515792379037332,0.24996875242917066,51.22592924757941,408.49042666374385,1.6418236776897637,,0.17087668095642955,4.500930280220944
trans[1, 1],0.996438924610939,0.0018236285742710707,0.0002430818251194915,63.702704379549196,591.6789772585545,1.426067963141182,,0.9930971483715629,0.9994196217643646
trans[2, 1],0.003561075389060977,0.001823628574271071,0.00024308182511949673,63.702704379549196,591.6789772585545,1.4260679631411817,,0.0005803782356353926,0.006902851628437068
trans[1, 2],0.00911950376310665,0.005325557168739003,0.0008689111657468782,51.253144040420814,414.4758988300006,1.6378848749218469,,0.00011628046540787639,0.016244533999664027
trans[2, 2],0.9908804962368933,0.0053255571687390035,0.000868911165746878,51.253144040420814,414.4758988300006,1.6378848749218469,,0.9837554660003359,0.9998837195345921
init[1],0.7099497186574242,0.16114185006740364,0.02637736803672306,51.22265939256501,439.8499228306657,1.639579703448473,,0.4337374994303424,0.9314547762853567
init[2],0.29005028134257577,0.16114185006740367,0.02637736803672306,51.22265939256501,439.8499228306657,1.639579703448473,,0.0685452237146433,0.5662625005696575
pdd[1],0.1421386609747023,0.07670036190817989,0.013217004005906231,51.142941044225566,427.4243216165878,1.6432994369907847,,0.03620295444276777,0.23371655489756266
pdd[2],0.14019229052557927,0.15400536503603646,0.027092025889232506,51.01151447930302,412.1810666897731,1.6440819198723748,,0.009670892868208492,0.36596179236454085
pdc[1],0.3832126856070813,0.02449795244856496,0.0012314326924013888,457.0669129713167,648.0366144633366,1.0412823649937255,,0.33436025983484685,0.43049014919552553
pdc[2],0.17475473837900732,0.10685301715052814,0.01742984050712046,53.19390896467062,487.0896491260739,1.587265714387516,,0.03149125540955272,0.33095265431876386
pcd[1],0.40734174864487943,0.031577105791350146,0.003335253259984123,96.953748321784,414.0003354699724,1.2277142029266832,,0.3415024240773287,0.46439010787002366
pcd[2],0.8102252355047145,0.10075055171608184,0.016217211132480647,51.422898354667936,419.4605558271821,1.6322499114737763,,0.6587612848464695,0.957162702856199
pcc[1],0.8908125240060358,0.0838693927393791,0.014497777464916137,51.015417162479565,460.3987832110017,1.6441249862705751,,0.7937099753398298,0.9993035855522787
pcc[2],0.9118478044708528,0.11301123853122211,0.019893082221851027,51.188333546802546,418.8276539167444,1.641926064924155,,0.7472461674104176,0.9999358770827048
