parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-3.0649513511975592,0.1167735193031843,0.0016391305850404561,5105.368139155255,5453.041688998031,1.0000443050144003,,-3.292964548153662,-2.8396369024639876
beta0[2],-0.6814354880011796,0.10924350091578314,0.0016419815256173166,4423.649058938601,5185.24887648709,1.0005877257589662,,-0.9088601786957363,-0.47928821575614355
beta1[1],2.5613671281625665,0.18513960151009207,0.0026385209397912857,4940.639945011641,5290.7047349697705,0.9998936237929043,,2.201628698463472,2.9148835557758117
beta1[2],1.4960468529144235,0.13774773920506922,0.002045613319319965,4522.879785020969,5019.352753994614,1.0002604404501607,,1.2173192571263751,1.7588787416388918
beta2[1],2.5424314541573647,0.17481726970794012,0.0024290993942381626,5181.111165526363,5452.579494805224,0.999762497367791,,2.2015316850705258,2.889379167205862
beta2[2],-0.1587685970899026,0.14560757623446924,0.0022085420714018783,4342.657707197077,5554.146809298161,1.0007109889034331,,-0.44610195610373976,0.1250656866881909
beta3[1],3.879968116491216,0.4980734812086485,0.005872037522539042,7428.611844321079,5516.695944552484,1.0002404982600457,,2.968170118802163,4.8714996821202154
beta3[2],0.5416197363601536,0.18486330873714613,0.002709022692724128,4658.066685078025,5155.006483560725,1.00029664641902,,0.18311991064158378,0.8975723437942971
trans[1, 1],0.9944479739437797,0.001171241057267697,1.3508520646991012e-5,7328.193515412444,5357.578844540524,1.0002600163789248,,0.9921158458402605,0.9966560115403658
trans[2, 1],0.005552026056220237,0.001171241057267697,1.3508520646991137e-5,7328.193515412432,5357.57884454053,1.000258881010821,,0.0033439884596342395,0.007884154159739531
trans[1, 2],0.003308714226011937,0.001966072696589307,2.1191242479491785e-5,6791.867970223068,3686.7050975126385,1.000274285101801,,7.120600116350406e-5,0.0069829604089656685
trans[2, 2],0.996691285773988,0.0019660726965893068,2.1191242479492222e-5,6791.867970223056,3686.7050975126394,1.000274285101801,,0.9930170395910344,0.9999287939988365
init[1],0.5156739254168418,0.061651766503747166,0.0006389286544746138,9292.954642880699,6349.962149088345,1.0000702779632158,,0.3942175489346681,0.6330807849092298
init[2],0.48432607458315835,0.061651766503747166,0.0006389286544746139,9292.954642880703,6349.962149088347,1.0000702779632158,,0.3669192150907702,0.6057824510653319
pdd[1],0.04483980628389804,0.004968784419210735,6.943140430098525e-5,5105.368139155255,5453.041688998031,1.0000247156574928,,0.035394822468774165,0.05466348488707642
pdd[2],0.3363752913469963,0.02433289706472443,0.0003658333199536026,4423.649058938601,5185.24887648709,1.0005877257589662,,0.28723313655764793,0.3824202167957657
pdc[1],0.37273416900859696,0.028938538508956092,0.000311776026177076,8880.18587425013,5379.300069067752,1.000405961810529,,0.3188193618684947,0.4322753466553172
pdc[2],0.30188332318738864,0.02050347828524504,0.0002170007146763104,9264.321259323802,5668.487476665514,1.0002339116538999,,0.2602159188444068,0.3412361392512637
pcd[1],0.3773515465776419,0.03466885226934604,0.00039780744530159683,7771.120127188264,5612.816873804787,1.0006678353893543,,0.30729380943860357,0.4426257540397155
pcd[2],0.6926579719586203,0.02178226806093226,0.00023042792546746848,8926.717355849009,6926.832840506898,0.999952040859004,,0.6485339809411655,0.7334529864034302
pcc[1],0.9970599313472207,0.0012331470898017838,1.2899183110347744e-5,9151.687151879243,5923.11470713341,1.0001091118156058,,0.994585909722696,0.9992016470395932
pcc[2],0.7676261616935942,0.017241523788706872,0.00017628077614658874,9586.669295721766,7156.876459305263,1.0004103053756386,,0.7335175700335191,0.8015034461431749
