parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.522113305434597,0.11406957133875138,0.002597173166502641,2083.1326853960413,2376.1068277941963,1.00085006998502,,-1.7427678747527102,-1.298385401636009
beta0[2],-4.228246205132031,0.33096502917463044,0.006076253618250245,2901.78827295799,3859.986684695664,1.0011461746070063,,-4.881833354291091,-3.6179100352737423
beta1[1],1.2199174541869529,0.14635278043560287,0.003099589245352874,2315.343295375159,2851.1832207546677,1.0009414343891234,,0.9313783527927528,1.5055164127046758
beta1[2],7.085995555871795,0.8438888594034846,0.01856955534739333,2080.1653938573663,2249.395805211106,1.001572431984647,,5.375019330788605,8.679670276419056
beta2[1],1.069911671524912,0.1315449099070806,0.002763148389888982,2380.702458514741,3059.1849713686743,1.0017993035156627,,0.8112199638034123,1.3216965919871573
beta2[2],1.2638127734912152,0.5230299478236314,0.00734082414693927,5131.406674831615,5549.95606162115,1.0002335417764026,,0.22324787919592198,2.255540777061489
beta3[1],0.9203103858327882,0.16076303983505402,0.002404282370368993,4478.742115974632,5583.077154230757,1.000555100928299,,0.5995200054560537,1.2283942838331683
beta3[2],3.4973923990794566,0.909994076658062,0.012023220415008118,5761.326642270308,5560.8415709414,1.0006747107348075,,1.7291768787566075,5.317803222351006
trans[1, 1],0.997266448506847,0.0012557004719745402,1.3763512837909077e-5,7337.764090949117,4624.34609984615,0.9997846486884254,,0.9948601820078601,0.9994914605829958
trans[2, 1],0.0027335514931531224,0.0012557004719745408,1.3763512837909068e-5,7337.764090949124,4624.346099846152,0.9997838977163561,,0.0005085394170042354,0.005139817992139882
trans[1, 2],0.014557320476603216,0.002338663025476509,3.463515182208019e-5,4395.035064857582,4527.025075788726,1.0008720352762255,,0.010204817634132834,0.01939072838057676
trans[2, 2],0.9854426795233968,0.0023386630254765093,3.463515182207989e-5,4395.035064857585,4527.025075788726,1.0008720352762255,,0.9806092716194232,0.9897951823658672
init[1],0.8678584266268021,0.05368865937189643,0.0008544855897038416,4093.1191060429937,4300.739723082423,1.0013898552621723,,0.7580344929688837,0.9635998187157647
init[2],0.1321415733731978,0.05368865937189644,0.0008544855897038414,4093.1191060430015,4300.739723082423,1.0013898552621723,,0.036400181284235306,0.24196550703111627
pdd[1],0.1797647253359981,0.01711710102933751,0.0003949421311925308,2083.1326853960413,2376.1068277941963,1.0008779258051475,,0.1489617041530563,0.21443687662468697
pdd[2],0.015116786871538793,0.004817636307867626,9.156767795895384e-5,2901.78827295799,3859.986684695664,1.0013614776207833,,0.006729960873831689,0.024969123141646492
pdc[1],0.38898745378940225,0.017906918002049247,0.00017917464185704737,9987.950361234543,6677.8503332722985,1.000586150460223,,0.35457117254406106,0.42459733792571547
pdc[2],0.05618596468334023,0.03125108435235903,0.000623591845616752,3075.465251271302,2820.3739584588543,1.0007210970679723,,0.009510286980801719,0.11931291010879727
pcd[1],0.4251425102198009,0.019867600046090953,0.00021452294721084123,8584.907967743666,5936.101514626143,1.0003036121772326,,0.38737257936961694,0.46512705572384105
pcd[2],0.9368471764070744,0.036766466561004844,0.0008629083280183991,2184.515546436965,2329.554500610733,1.0015748622948297,,0.859657907026035,0.9904924061581133
pcc[1],0.8434077727539826,0.01496244018547367,0.00024828012882754756,4577.487449354846,3322.6215149560785,1.0009050339910788,,0.8140689700324361,0.8705854833790174
pcc[2],0.9993561067110994,0.000471184032279425,4.492392327515981e-6,10061.27170478023,5065.864323331417,0.9999968598420848,,0.9984370621627493,0.9999767122212962
