parameters;mean;std;mcse;ess_bulk;ess_tail;rhat;ess_per_sec;lower;upper
beta0[1];-1.2428131579312724;0.4124124560385673;0.0573567416679854;80.10151575451965;498.54762046450367;1.5920656487332683;;-1.7059611866881959;-0.5317418853716969
beta0[2];-3.8450980622190514;0.6194453297968734;0.07986295709211752;79.86088848351525;482.2581455904902;1.5924834805940487;;-4.780109163721952;-2.8584651372289342
beta1[1];1.3126924789543888;0.193546326549355;0.018791331982427526;109.0472967371056;501.20408480163877;1.3458981403185344;;0.945313328478851;1.70113211390186
beta1[2];5.590515134187294;2.252756907356592;0.30953522840900183;79.96653792535479;498.7871438828999;1.5927534152860758;;2.201628698463472;8.378749911730596
beta2[1];0.6611649187488684;0.5955262023542744;0.0837518598004951;80.07369694629385;492.25257723095945;1.5921199444709828;;-0.35218082611126394;1.3011632083716596
beta2[2];1.6879631270585604;0.7492699864803931;0.08764506653585183;82.05766956655829;528.8133377058779;1.5600183331964554;;0.41307657760813343;2.882953433106768
beta3[1];0.7943346044398136;0.24653901328229297;0.0259484663293596;99.23187838142908;515.5595764788795;1.3976578014863819;;0.2890320711334575;1.2173852099565774
beta3[2];3.615940144687787;0.8185535463789382;0.025323524811255656;1063.2488248365673;2300.0554394998026;1.0414058999029598;;1.8533679605956868;5.155810902020932
trans[1, 1];0.9970710060958142;0.0015510499639972434;3.3231252181558046e-5;15542.441117293396;1600.4741217599421;1.0263284248749582;;0.993978374769013;0.9996154845678924
trans[2, 1];0.0029289939041858737;0.0015510499639972439;3.323125218155436e-5;15542.441117293454;1600.4741217599637;1.0263283880239293;;0.00038451543210760164;0.006021625230987038
trans[1, 2];0.011588699473032208;0.0047251868479365605;0.0006180142211345618;79.70869823155626;513.098203413582;1.5919293123418075;;0.003542471159678577;0.018358418169937378
trans[2, 2];0.9884113005269678;0.0047251868479365605;0.0006180142211345616;79.70869823155626;513.098203413582;1.5919293123418075;;0.9816415818300627;0.9964575288403215
init[1];0.7406888634688048;0.18973168246256575;0.026206426510731323;79.69548117313546;498.0363269680334;1.5920790835875092;;0.40830779967853437;0.9627609886911994
init[2];0.2593111365311952;0.18973168246256575;0.02620642651073132;79.69548117313546;498.0363269680334;1.5920790835875092;;0.037239011308800585;0.5916922003214656
pdd[1];0.23182520766080247;0.07651686549140117;0.010682241662267708;80.10151575451965;498.54762046450367;1.5920656487332683;;0.14998986417023638;0.3652395438058435
pdd[2];0.024966645480620286;0.014873442497068665;0.002031894532957127;79.86088848351525;482.2581455904902;1.5924834805940487;;0.006943248968005663;0.05098448253130851
pdc[1];0.3599256197109726;0.04514053584334878;0.00594073145127917;80.31610334616082;492.1194140080088;1.5856708416683036;;0.2754144092026871;0.4229831868785853
pdc[2];0.16137414682236628;0.1525119285670518;0.021585892900387583;80.01755232832168;503.6629249454265;1.591773702499179;;0.012825774943974614;0.404955001877604
pcd[1];0.514268144880629;0.1278174355717692;0.018215526331438185;79.63384235091598;508.06300959246175;1.5915499278111251;;0.38704876515935727;0.7212436153987999
pcd[2];0.7508260485737375;0.26651930471409524;0.03812934189319784;79.94865990364704;493.25448878235255;1.5925538258971745;;0.3362902519515942;0.9857077245180007
pcc[1];0.8182660743518627;0.03909929610662197;0.005181056312692762;80.35736241222517;509.64227970569965;1.5824564944266557;;0.746007922512219;0.8682744366092265
pcc[2];0.9985899507318815;0.0013504720550016709;0.00015690101555366242;85.92212322551734;485.6352287923864;1.5100923590795674;;0.995825934435568;0.9999879050162832
