parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.645315356114724,0.07241540610828834,0.0013726348600769421,2800.420976481743,3470.5229456623274,1.0006501610215948,,-1.7856750383395867,-1.5028400232407635
beta0[2],-5.876100537178645,0.8472637914712784,0.018768204115890256,3140.0716262673777,2584.121997188032,1.001802250788596,,-7.476018306884573,-4.4756532197552135
beta1[1],1.3800215550726336,0.1091068462745877,0.0019663880161984604,3093.3466456540814,3802.381352081764,1.0009189595941639,,1.1634448369730173,1.5866579460727064
beta1[2],17.21072226329165,9.978762040381678,0.3613937139835901,1210.243149506383,1204.9004805226355,1.0014092821015832,,7.358205955516072,35.068383189390175
beta2[1],1.1867214481021473,0.1032803309819822,0.0019059837189885661,2969.9040822642264,2907.6118924841176,1.0007979467909083,,0.9717575555501573,1.382338741140125
beta2[2],1.3694626585386704,1.352602484415356,0.02560084285570452,3359.1857146651582,2638.3980664276223,1.0003750362925345,,-1.4034182479461799,3.8792638436965943
beta3[1],0.8418720856999063,0.154420952475772,0.002734943455521728,3199.7472904099927,4159.41446255724,1.000480297029425,,0.5277058061161799,1.1370264709907474
beta3[2],2.4596786160423436,4.183122945250136,0.08172732787753229,3753.1596994534398,1972.1373404614876,1.0008201011456468,,-5.820595186892168,10.721779404041529
trans[1, 1],0.996841663697696,0.0012952444826917497,2.0422121311265594e-5,3609.7753797457362,2987.8972837156566,1.0008684094916611,,0.9941673990029176,0.999006492245386
trans[2, 1],0.003158336302303882,0.00129524448269175,2.042212131126587e-5,3609.775379745741,2987.8972837156566,1.0008684094916611,,0.0009935077546140425,0.005832600997082382
trans[1, 2],0.016613885752617574,0.002418066892815825,3.850503596722709e-5,3897.036273046526,4589.905820160458,0.9999833802708172,,0.012048562938668232,0.021439767936879073
trans[2, 2],0.9833861142473824,0.0024180668928158247,3.850503596722758e-5,3897.036273046526,4589.905820160455,0.9999829258720202,,0.9785602320631209,0.9879514370613318
init[1],0.9056434811757816,0.04201179544688376,0.0006485996014776111,3692.0448076395323,2608.7966677592976,1.0008155461199855,,0.8255621833009432,0.9843984772710803
init[2],0.09435651882421837,0.04201179544688376,0.0006485996014776105,3692.0448076395346,2608.7966677592976,1.000816212541515,,0.015601522728919686,0.17443781669905675
pdd[1],0.16198351261272678,0.009852370166643849,0.00018746369637410103,2800.420976481743,3470.5229456623274,1.0006501610215948,,0.14357805828671003,0.18197632818539985
pdd[2],0.0036267299509829495,0.0023737723253519317,3.824498359273198e-5,3140.0716262673777,2584.121997188032,1.0008484868167227,,3.1247854639251837e-7,0.008172400054514422
pdc[1],0.38747170364249744,0.017873019071724266,0.0002219531137146468,6481.099700113721,4787.084459467015,1.0008997675080014,,0.35164746068884367,0.42145970491785567
pdc[2],0.017468521452111682,0.013969622453413592,0.0001835789282967652,3631.7257141095993,2312.8691882020235,1.000139150426424,,3.129548584373726e-9,0.04478530774247029
pcd[1],0.4341612240845939,0.01910946892278419,0.00022763606671377624,7038.681028026007,5706.712695474285,1.0004750299296037,,0.396532514546122,0.4715277270753973
pcd[2],0.9966196221381547,0.0067849637470630145,0.00012936265017958796,1357.9854292036516,1175.1079140497486,1.001057429373751,,0.9830215232742632,1.0
pcc[1],0.8533048452244762,0.010621668854851895,0.00011335723421077587,8745.437691335892,6676.2898345044505,0.9999634023586242,,0.8322899221748041,0.873699952759433
pcc[2],0.9999343166007998,0.00015948411425211544,1.7767724006235307e-6,1826.8769559632017,1228.904252821075,1.0009479124309935,,0.9996490999911994,1.0
