parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-3.09646511608613,0.12397105750993422,0.0035035861694801117,1254.1738005958036,1229.6431797191567,1.000587594826429,,-3.333501414411296,-2.842593278175217
beta0[2],-0.7055730917818316,0.11191188042835837,0.0032760732746214384,1154.345007709424,1397.6852223781934,1.001284696913172,,-0.9182468070882737,-0.48617426809756736
beta1[1],2.5869077667376397,0.19851457623459184,0.0052184452079371635,1446.1856172563978,1332.6840176073538,0.9997595507301446,,2.1934735297715204,2.9592928762187385
beta1[2],1.5077465671522505,0.13985504922917563,0.004571097658935192,936.74119357774,1626.9284050088347,1.0005518936571578,,1.243872973745667,1.7700168161939038
beta2[1],2.559875332365371,0.1860450533808994,0.005233387443518251,1271.3954923984463,1281.4702543265767,1.0028627905527219,,2.192566591567824,2.9179825608413115
beta2[2],-0.1296966462916566,0.15021665581168045,0.004575685295627069,1065.6694058510293,1204.425809801229,0.9999519856823635,,-0.42253016096539353,0.16702540063955046
beta3[1],4.28790670556808,0.8411317746175406,0.031669845552999565,1617.1212146463288,802.599125401315,1.0046830297530376,,3.0432718634339753,5.7620217487420815
beta3[2],0.5463568558775316,0.19543089378773473,0.006195191835532205,976.5386358508256,1416.1637483704308,1.001144210312234,,0.16329344918475958,0.9015442120382929
trans[1, 1],0.9944512057991565,0.0012511293399547563,2.8863572558436163e-5,1830.583134940977,1100.448520728316,1.0011361878242986,,0.991850020265562,0.9966675376319925
trans[2, 1],0.005548794200843531,0.0012511293399547557,2.8863572558434676e-5,1830.5831349409755,1100.448520728316,1.0011341986203295,,0.0033324623680075086,0.008149979734437929
trans[1, 2],0.0029086106362205023,0.0019879989958167033,4.8462128209748697e-5,1396.0524031138934,1065.8580368040227,1.0007056572135764,,1.330565773738357e-5,0.006622205013908422
trans[2, 2],0.9970913893637794,0.0019879989958167033,4.846212820974861e-5,1396.0524031138948,1065.8580368040227,1.0007056572135764,,0.9933777949860916,0.9999866943422626
init[1],0.5049671065202492,0.06298478995509,0.0013692714876277032,2118.7049904051923,1064.7330049171983,1.001106316124635,,0.3762014920935264,0.6185376405609952
init[2],0.4950328934797507,0.06298478995509,0.0013692714876277032,2118.7049904051914,1064.733004917198,1.001106316124635,,0.3814623594390047,0.6237985079064736
pdd[1],0.04354282345330456,0.005138116436916993,0.00014315879519063618,1254.1738005958036,1229.6431797191567,1.000587594826429,,0.03349520884477038,0.053970098832492416
pdd[2],0.33104675410715345,0.02466881302907842,0.0007247989930766161,1154.345007709424,1397.6852223781934,1.001284696913172,,0.2816050463459229,0.3769530493737087
pdc[1],0.3695294784986735,0.030733032215078924,0.0007004629431011507,1998.8111623486636,1209.5011494471,1.0019866138752136,,0.30995444705832076,0.4324127311166519
pdc[2],0.30294151720645335,0.021067647865234466,0.0004624006411829385,2089.8335688205743,1419.0865196990844,0.9996933141970812,,0.2643040789500198,0.34772997372685144
pcd[1],0.3760364374350901,0.03645374738713798,0.0007980447735039669,2150.5363317986626,1627.577461763911,0.9996592687467829,,0.2998530859273006,0.4381945559428128
pcd[2],0.6899992712770263,0.02219797110310328,0.00045721771538575145,2357.9156858852743,1615.7544252248176,0.9996284673134629,,0.6447593409592907,0.7324021259592612
pcc[1],0.9978503592763508,0.0011530591666087152,2.493027557983881e-5,1648.6570192610131,805.5435036188193,1.0018580471123966,,0.9957776106528445,0.999999788974545
pcc[2],0.7714172759038248,0.0168682074094385,0.00035106811113976916,2314.1577991780296,1503.5281939458698,0.9998546928090257,,0.7410910961979654,0.8073542498274067
