parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.644645338824232,0.07394551993283105,0.0018363020874480735,1619.7741888541882,1713.43892722003,1.0023630267915444,,-1.78302053115289,-1.4930207446900328
beta0[2],-6.144905098744639,1.1355185309177922,0.0341919459170322,1461.093690279737,1109.4470160824337,1.0048654429476327,,-8.304260726765355,-4.3500911871013335
beta1[1],1.3826550145585188,0.10895530367682334,0.0026136356130644,1743.964664119152,1985.513131084645,1.0018843519723413,,1.1649241178486311,1.590703860925186
beta1[2],18.332187125479372,11.936695241349664,0.3996865611320626,1076.9210985290301,1063.335132624302,1.010200715386367,,7.494807495938306,38.13755831139159
beta2[1],1.185333160788316,0.10298058138612323,0.0024386990553848147,1770.3619292345488,2032.301336105756,1.003712751339816,,0.9767371770991171,1.3840691009889605
beta2[2],1.5642783525020976,1.7980001692861451,0.04538959165562448,1877.0410607000715,1518.6860204137388,1.002613515763174,,-2.4184891974862586,4.9693575191636885
beta3[1],0.8396979693632475,0.15189794787457406,0.003537789730985336,1843.6355635846205,2210.123893211476,1.0025133327204336,,0.5352702531096909,1.1344001190237456
beta3[2],4.137936246690792,7.912133882614303,0.3368919592265533,1869.790648714089,1022.5389775950222,1.0041706187940878,,-7.560139646819592,17.54950173920733
trans[1, 1],0.9968050124640588,0.001283233433853553,2.565581130526045e-5,2223.858026312329,1671.1401004726058,1.0013820121799604,,0.9943144516376051,0.9990581062640278
trans[2, 1],0.003194987535941203,0.001283233433853553,2.565581130526028e-5,2223.8580263123295,1671.1401004726058,1.0013820121799604,,0.000941893735972199,0.005685548362394877
trans[1, 2],0.01660785905920754,0.0024255552397475506,4.660509083902283e-5,2665.570795773054,3202.4908582058033,1.002125323757028,,0.011997545021803993,0.021364414893318973
trans[2, 2],0.9833921409407924,0.0024255552397475506,4.660509083902283e-5,2665.5707957730556,3202.4908582058038,1.0021232229085915,,0.978635585106681,0.988002454978196
init[1],0.9046763476324222,0.04117961169635903,0.0007122014489612647,3073.1953266447686,2459.4785976819844,1.0011476554614567,,0.8224163032595596,0.9788392034167732
init[2],0.09532365236757775,0.04117961169635903,0.0007122014489612647,3073.195326644772,2459.478597681986,1.0011494533669758,,0.02116079658322677,0.17758369674044036
pdd[1],0.1620845012087272,0.010037540124938673,0.00025088784463984313,1619.7741888541882,1713.43892722003,1.0023630267915444,,0.14275842476582615,0.18219702749190267
pdd[2],0.003197445352400894,0.0024547339831971623,6.84480945233945e-5,1461.093690279737,1109.4470160824337,1.0048654429476327,,4.978428251828043e-7,0.008010587469460376
pdc[1],0.3872944973053775,0.017487972695327335,0.0002546937029078864,4710.363631739061,5535.366223164781,1.0014302063280063,,0.3532839589593351,0.4212729156518019
pdc[2],0.01757244662238118,0.014341848379284663,0.00021895717388492085,2905.813864553077,1716.9283252889409,1.0025425389995317,,2.166247322528497e-9,0.0457270699541264
pcd[1],0.43497162310990156,0.019113290133766843,0.00029687393087075945,4166.783256519356,4305.708093075935,1.001811625413302,,0.39609417187246404,0.4715153737072824
pcd[2],0.996760211450656,0.006691556027703223,0.00013217062699680604,1386.2186993110356,1034.8704992560713,1.008719337257188,,0.9822182949729479,1.0
pcc[1],0.853272995087079,0.010591391202135541,0.0001313147747010147,6520.95013864197,5273.643340788706,1.0003380753598328,,0.8324734681239347,0.8736422553154803
pcc[2],0.9999622498963181,0.00011700062184483566,1.420580911751567e-6,1699.55072347591,NaN,1.0060337792982261,,0.9997877503909492,1.0
