parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],3.7835755170154606,0.5171670917839205,0.010048670572821154,2751.8937851927526,1703.2257631918442,1.0005660837146673,,2.8089000429033804,4.833347456723455
beta0[2],-4.4449306969431035,0.2853550463804431,0.006857599871036215,1970.620595643578,1395.0333765083526,1.0012861958759667,,-5.049463098113921,-3.9392760850480624
beta1[1],-3.1916452904918637,0.5244176420525486,0.010203269214734342,2727.9096252340964,1677.0261940667417,1.0007302266574802,,-4.215714676975511,-2.1510258664604613
beta1[2],-2.155776514397392,1.1141441007831334,0.019433707999285725,3393.1381746407924,2356.7050927175533,1.0033133721651704,,-4.231591784156972,0.14083215519853237
beta2[1],2.9565516067375373,1.0203211417283027,0.020077661621972786,2581.44527748277,2233.030166878868,1.0013624112826058,,1.011249182099521,4.926769636865981
beta2[2],3.3070213369484405,0.2918662521211363,0.0070708683922909585,1845.646204125689,1559.6801043647267,1.0003639631238461,,2.7775116559497333,3.9093222522239754
beta3[1],2.6518903329010666,1.062989786157365,0.022142439125020463,2301.438957597841,2070.5964295574126,1.0021730037888295,,0.6038704085936107,4.7409385516566696
beta3[2],-1.725455690126952,1.1409568926978249,0.020087972117154556,3253.9358906831553,2066.6078011529717,1.0022881252622373,,-3.902196485537507,0.7082439432261465
gamma0[1, 1],-0.24981139881956105,0.10298733396345446,0.001851996189742472,3164.251660069948,2118.681920230722,1.0027275053418276,,-0.4402458526391395,-0.03653641620999862
gamma0[1, 2],-5.853836248732786,0.4004508219518728,0.007440274256602691,2943.4908819008374,2034.7789578539291,1.0035964719886104,,-6.693944973028912,-5.126370515422708
gamma1[1, 1],-5.829830143162322,0.7445452139978651,0.013016004033885756,3425.77363706341,2339.100929112757,1.0010594979000256,,-7.334283432654801,-4.467286284414718
gamma1[1, 2],6.998085599453392,0.46477338630346715,0.008987210067492816,2754.2802872531174,2008.0172642992832,1.003617626152222,,6.058120423420108,7.867174005993096
gamma2[1, 1],1.1427544666817262,0.2738714924994933,0.005165783056469285,2936.480368876625,1792.1918850750287,1.0036682435822666,,0.6589709057261911,1.7112162251066805
gamma2[1, 2],-1.3264399079183826,0.9068977019376636,0.020085345202307116,2124.7867402898464,1731.9329371944725,1.0022112841860136,,-3.095122066617828,0.41420500260479537
gamma3[1, 1],-2.9882839591412687,0.9639879980098959,0.017794918180905377,2933.8221166910635,2164.901160461352,1.0046831797518032,,-4.8818593087067965,-1.1600538290973958
gamma3[1, 2],-0.11007720097581478,0.9291675986498722,0.020605471622308847,2067.7482205746664,1681.2397816751663,1.0026431988883984,,-1.8779295735411847,1.7191419378077504
init[1],0.5999414714910334,0.055820079124719,0.0008730232729507508,4148.402753721095,2305.4996652776613,1.0024703694271047,,0.49749649247843164,0.7164869735755284
init[2],0.4000585285089666,0.055820079124719,0.0008730232729507504,4148.4027537211,2305.499665277665,1.0024843892364768,,0.2835130264244716,0.5025035075215684
