parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],3.789934020092551,0.5226177547227648,0.005586333056305768,9218.841208748141,7469.503817641503,1.0001837897983028,,2.7681511668947802,4.811657754859264
beta0[2],-4.433058175315548,0.27663793931287245,0.002991777880415941,9331.299450973349,6804.867887897986,1.000437463194883,,-4.984121430866748,-3.924155080061055
beta1[1],-3.1987659186061737,0.5274367853644352,0.005675219544785054,9066.198220095632,7483.522523085833,1.0001398947877445,,-4.272659325648311,-2.205190977995116
beta1[2],-2.167324679961827,1.095200867595329,0.010126266649091834,11788.831561357458,9204.151856259552,1.0002173745192262,,-4.306057671643959,-0.07094828048579488
beta2[1],2.965338086314683,1.032063095812859,0.010016333320790067,10663.107152360439,8081.142669112474,1.000621728650682,,0.9893601732215986,4.9537106037969725
beta2[2],3.29103076308436,0.2875944814698427,0.0030821633234615993,9337.261074435184,6833.4588544158905,1.000528972529632,,2.746854861429845,3.858066789769433
beta3[1],2.6601086398503204,1.0531069728192137,0.010472242832915129,10164.171231635173,9058.444657537402,1.0008164509469704,,0.5426734622711873,4.603551496597401
beta3[2],-1.7375432396325214,1.1657292607446024,0.01014707233082907,13238.151687419371,9072.602568141068,1.0005160950311827,,-4.017801408215658,0.5383701803577935
gamma0[1, 1],-0.24635165963817054,0.09992496135120837,0.0008755974810770938,13014.625588837776,9148.053838221367,1.0004300035028286,,-0.43879396461186676,-0.04556048744997932
gamma0[1, 2],-5.862742961532587,0.40120705301406606,0.003949454345074527,10704.505475007572,7789.361572583715,1.0004656979693975,,-6.667058164930278,-5.10066474126958
gamma1[1, 1],-5.8553509013064104,0.7449628294027959,0.006845347741166005,12764.561447752061,7404.453871115046,1.001121204207408,,-7.323664129335844,-4.467657209133292
gamma1[1, 2],7.00982474941885,0.4694167915056083,0.0045788194575379386,10770.84530688336,8005.990628714216,1.0004872401513285,,6.115219359865367,7.950551227973693
gamma2[1, 1],1.129197283619916,0.26807402182273926,0.0023859377140359214,12857.771602750063,8506.642996817744,1.0002734107940836,,0.6189324879713772,1.6679043856670268
gamma2[1, 2],-1.31809599715632,0.8801760130622409,0.009039784412530331,9632.185477073042,7468.458629115919,1.0003220076482098,,-3.0906344442035825,0.33792924289504706
gamma3[1, 1],-2.953883370806433,0.9706725534907953,0.008796415215845763,12196.840403421582,9013.792664523327,1.0000002872019,,-4.871084562246241,-1.0836671536401072
gamma3[1, 2],-0.1222832590842435,0.8961327234101943,0.009280189980682117,9422.822631521332,7960.91392766823,1.0004421756719617,,-1.8019603653140746,1.66672333041335
init[1],0.6018569049156108,0.056142102923296286,0.00042321482380273815,17557.937388915307,7460.120507657972,1.0015275853220342,,0.49405179793666565,0.7095600847356095
init[2],0.39814309508438916,0.05614210292329629,0.0004232148238027381,17557.937388915245,7460.120507657972,1.0015284496477097,,0.2904399152643905,0.5059482020633344
pdd[1],0.9751218128864205,0.012111914135123423,0.00011897225677350804,9218.841208748141,7469.503817641503,1.0000520219517262,,0.9511251214684795,0.9943473779095499
pdd[2],0.012163299651537172,0.00319978163106957,3.2129323457216676e-5,9331.299450973349,6804.867887897986,1.0004487937799638,,0.006266137002010079,0.018439430280824586
pdc[1],0.9979265508921735,0.0026095208495744214,2.6020705113958078e-5,11091.930415064098,7917.005232887686,1.0000809816407545,,0.9931117878983132,0.9999881572430261
pdc[2],0.24251779889191305,0.020082142825001256,0.00017894012202662176,12582.233645484588,10365.546808325842,1.0004967939884395,,0.203309457355295,0.28205165360002565
pcd[1],0.6433153640292013,0.02239646116174396,0.00020111144220854405,12402.864208016228,10093.730508284007,1.0010123458598004,,0.5980803236240991,0.6859390128586398
pcd[2],0.0023848510094189885,0.002932549515704117,2.9154378990979857e-5,11709.734474904993,9302.850264106111,1.0002539563936068,,1.500618577745041e-5,0.007933119876705705
pcc[1],0.9976351592105859,0.00127821822968467,1.204719563863153e-5,10401.85661570935,7959.51154200234,1.0005171722441366,,0.9951402875887542,0.9997357194554047
pcc[2],0.010481853617616776,0.010386722860562678,8.483736453387368e-5,14350.862183643962,7556.904767252846,1.0001852780602625,,1.9704897073357678e-5,0.03099846056460146
trans_dd[1,1],0.5611288733290452,0.024551616533193946,0.00021518969856762228,13014.625588837762,9148.05383822137,1.0004199297222647,,0.5113881520099902,0.6079716191647905
trans_dd[2,1],0.4388711266709548,0.024551616533193946,0.0002151896985676223,13014.625588837776,9148.053838221367,1.0004199297222647,,0.3920283808352095,0.48861184799000973
trans_dd[1,2],0.003060192878837801,0.001191391049040892,1.1249284586775588e-5,10704.505475007572,7789.361572583715,1.0004698205024123,,0.0010193806735574729,0.005459775959291713
trans_dd[2,2],0.9969398071211621,0.0011913910490408918,1.1249284586775468e-5,10704.505475007572,7789.361572583715,1.0004698205024123,,0.9945402240407083,0.9989806193264426
trans_dc[1,1],0.29473487830748496,0.04539260834972793,0.0003774360315763361,14561.73286497571,9147.874645216983,1.0006321591546548,,0.2075820643878613,0.3836335813680676
trans_dc[2,1],0.705265121692515,0.04539260834972793,0.000377436031576336,14561.73286497569,9147.874645216983,1.0006321591546548,,0.6163664186319324,0.7924179356121387
trans_dc[1,2],0.0011076660264813334,0.0010231073072751277,1.0009639290598197e-5,10683.332578780408,7759.918801708156,1.000313638063838,,2.9120398961162842e-5,0.0031393254484486485
trans_dc[2,2],0.9988923339735186,0.0010231073072751286,1.0009639290598398e-5,10683.3325787804,7759.918801708162,1.000313638063838,,0.9968606745515514,0.9999708796010388
trans_cd[1,1],0.9971339175815462,0.0020614913292548603,1.739708891479921e-5,12946.966172656637,7471.697088257337,1.000568145110929,,0.9930134803890371,0.9997997626172626
trans_cd[2,1],0.002866082418453857,0.0020614913292548603,1.7397088914799327e-5,12946.966172656637,7471.6970882573305,1.000568410706304,,0.0002002373827374737,0.006986519610962884
trans_cd[1,2],0.7555914590767813,0.04806581005820767,0.0004150216559523612,13370.67800214547,9087.103765588825,1.0004050897773942,,0.6580457012337533,0.8462484545581596
trans_cd[2,2],0.24440854092321887,0.04806581005820767,0.00041502165595236107,13370.678002145472,9087.103765588825,1.0004042630077796,,0.15375154544184036,0.3419542987662466
trans_cc[1,1],0.999505937862822,0.00038936257221682284,3.1378205204064023e-6,14179.7195358071,7781.026539067132,1.0005606308262012,,0.998728539591234,0.9999950389759849
trans_cc[2,1],0.0004940621371779964,0.00038936257221682284,3.137820520406451e-6,14179.719535807122,7781.026539067132,1.0005623589172412,,4.961024015194352e-6,0.0012714604087659931
trans_cc[1,2],0.42744498858946084,0.028794050143126897,0.00025996274855688784,12271.368868933956,8857.253242694904,1.00016628246116,,0.3717867276466729,0.48444570951773325
