parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.160430448654814,0.055745866431574836,0.0007260695513559917,5892.8163263519355,6149.044704860315,1.000280970216586,,-1.2658439801940375,-1.0480154718659314
beta0[2],-4.596013539614063,0.2793738594501727,0.003894084664731192,5376.92407604384,4911.390269997614,1.0020486048884354,,-5.157182329659081,-4.071570445723846
beta1[1],0.8154421592191867,0.08996590318102049,0.0011601754604185653,6034.1398169370295,6141.983566253233,1.0002692607337238,,0.6486228420785332,0.999560274247064
beta1[2],7.361245211043777,0.44569204753760905,0.006365533366487072,5105.673364677781,5029.29636390835,1.0015359307386893,,6.527091769749235,8.266669336852353
beta2[1],0.21364893786137468,0.08774997560311537,0.0010553355554291965,6920.920667580538,5991.88551030713,1.000097822735514,,0.027663094405625338,0.37390936431874794
beta2[2],0.17239213829130187,0.4775162300654581,0.005921719234375758,6750.960779478651,5148.6300353573715,1.000769791686674,,-0.7727474415093468,1.083502194588324
beta3[1],1.0034169224109997,0.14201474193998573,0.0017143602319467214,6858.9384804488145,5818.782447371139,1.0006179957316674,,0.7244632663328436,1.2858530011638072
beta3[2],1.453045662850544,0.7197367046271312,0.008388275968497746,7622.670986274079,5639.35857056976,1.0008158852791114,,0.06180433215169731,2.9016592618840944
trans[1, 1],0.9902923846500289,0.0022144273656368096,2.3774470644943827e-5,8373.08656453378,5697.59299668675,1.000216207690293,,0.9857206273608201,0.9942798341233121
trans[2, 1],0.009707615349971022,0.00221442736563681,2.3774470644943997e-5,8373.08656453378,5697.59299668675,1.000216207690293,,0.005720165876687877,0.014279372639179888
trans[1, 2],0.02302312546207343,0.0032880547355526512,3.78312659454118e-5,7515.834846034728,6004.02454440637,1.0003959726929943,,0.0166249467565374,0.029377974247583805
trans[2, 2],0.9769768745379265,0.0032880547355526512,3.7831265945411774e-5,7515.834846034728,6004.024544406368,1.0003961964081625,,0.9706220257524162,0.9833750532434626
init[1],0.8395781818207062,0.04921189400175569,0.0005180142791444006,8611.381171241275,4397.499121230951,0.9997625420083891,,0.7378898502754399,0.9306624657367928
init[2],0.16042181817929393,0.04921189400175569,0.0005180142791444004,8611.381171241277,4397.49912123095,0.9997625420083891,,0.06933753426320721,0.26211014972456015
pdd[1],0.23873649691730475,0.01012979467641923,0.00013195347378434731,5892.8163263519355,6149.044704860315,1.000280970216586,,0.21853771315335127,0.2580202031793797
pdd[2],0.010361534589558975,0.0027555453634732123,3.702014115152468e-5,5376.92407604384,4911.390269997614,1.0017978888392598,,0.005154143514789764,0.015821456439527853
pdc[1],0.27980113986461186,0.015675022187483505,0.00015454259001834188,10314.702143753506,6667.898021519997,1.0000992491868173,,0.2485143897706607,0.3102444712171286
pdc[2],0.012993924676578693,0.005359932368539894,6.058366606045852e-5,7235.928861043546,4883.559669169564,1.0001652320295062,,0.0035259064448742968,0.023637306842340507
pcd[1],0.4146856920399967,0.015757799622301404,0.0001634918621686961,9291.137893377947,7090.529382367861,1.000173448173521,,0.383791873440814,0.4448801631476407
pcd[2],0.9391553552147798,0.014226153787844925,0.00017368106163756717,6575.467710475645,6133.087838266096,1.000323205637071,,0.910585481353738,0.9654867064909257
pcc[1],0.7047518771893849,0.020781448972989374,0.00021649201587474473,9210.24604397084,6894.900962058597,1.0006261424658929,,0.6650174329050328,0.7462701034623017
pcc[2],0.9857127765320781,0.007680464024064988,7.21721818680306e-5,10354.049790291881,5672.133288512794,0.9999361585599472,,0.9702301430776105,0.9979951226340924
