parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.0139767421268318,0.0551555323421645,0.0007178320264617046,5902.340286505313,5355.743474303999,1.0006881047321938,,-1.122607850036024,-0.9085402892678344
beta0[2],-3.648759854349595,0.17549121100027418,0.0023812953865377886,5605.222200571608,4953.6313757017115,1.0000810466489618,,-4.002250399366209,-3.3096848242317476
beta1[1],1.5017009288342669,0.07156946494743789,0.0009396859149264534,5806.958604440717,5469.489678280082,1.0004087226647036,,1.3597211806147211,1.638441436157081
beta1[2],1.8458493957598694,0.4109121394209653,0.00531753521977184,6130.3196731237,5205.0723759006,1.0008773139266567,,1.0335318937617222,2.6406792459254165
beta2[1],0.21636871373896918,0.09357518233890766,0.0011970296044824173,6110.0834398282595,5944.379747459341,1.0000526784333792,,0.03279560396943991,0.40078770346708203
beta2[2],0.26015000387219755,0.2569701831179387,0.003413380825671469,5714.806261766857,5410.97650089093,1.0002322668200763,,-0.25392543288468916,0.7412195069072329
beta3[1],0.821538402584224,0.14157563668590234,0.001797784246863086,6191.248192327317,6233.488222996687,1.0000860780069527,,0.5517355785806032,1.094669473971043
beta3[2],0.9940066819896781,0.579792242854799,0.0071637957784843696,6570.531971734852,6036.356821978211,0.9999538881767296,,-0.1344506400337641,2.1328846429878627
trans[1, 1],0.9982089383641595,0.0008173101846615562,8.664927567022979e-6,8078.257160357758,4851.999477466571,1.0002012268892946,,0.9965915745152095,0.9995885081584758
trans[2, 1],0.001791061635840527,0.0008173101846615559,8.664927567022918e-6,8078.257160357751,4851.999477466568,1.0002012268892946,,0.00041149184152422524,0.0034084254847904782
trans[1, 2],0.011343402006660404,0.002235251155749106,2.551185718357665e-5,7600.622395800168,6129.644743439575,1.000222378648814,,0.007172633665723717,0.01580152952527647
trans[2, 2],0.9886565979933396,0.0022352511557491056,2.5511857183576696e-5,7600.622395800168,6129.644743439575,1.000222890264975,,0.9841984704747235,0.9928273663342763
init[1],0.8169659002819886,0.05384372089671276,0.0006277515945963849,7052.072027652947,4904.430439385699,1.0009660394945106,,0.7144410650859455,0.9236216775152534
init[2],0.1830340997180114,0.05384372089671276,0.0006277515945963848,7052.07202765295,4904.430439385699,1.0009660394945106,,0.07637832248474663,0.2855589349140545
pdd[1],0.26634110085920504,0.010770950000295279,0.0001404818893003043,5902.340286505313,5355.743474303999,1.0006728740884354,,0.24552787461386924,0.2872986320611639
pdd[2],0.025720261201338423,0.0043069922754877836,5.7150780009224785e-5,5605.222200571608,4953.6313757017115,1.0000810466489618,,0.017106061390673236,0.03402955806112305
pdc[1],0.3108336411369966,0.018309828183665156,0.00020505780348821325,7977.026234706969,7339.2125485760325,1.000027270867619,,0.2738589706996752,0.3455888420171639
pdc[2],0.033253074285799246,0.006387296409207996,6.198588350907587e-5,10372.713025734038,6571.228136030517,1.0001146048195653,,0.021206064991741855,0.04620430795948691
pcd[1],0.6194966533300262,0.012036437266697226,0.00012275940232227752,9618.081908694996,7212.496608731882,1.000271838340378,,0.595346854119781,0.6424714431639338
pcd[2],0.148277377385848,0.048091687154373404,0.0005673259523250911,6774.718026956541,5150.6925148199325,1.0000881380344098,,0.05218792572107996,0.2392207636181633
pcc[1],0.8209304275054794,0.014116712073962713,0.0001371376123984192,10631.08423685654,7271.355265614527,1.0005346300555111,,0.7939019921120729,0.8486844398303387
pcc[2],0.37353555227224977,0.10780436470401136,0.0009867454455220483,11850.716170783013,6671.280628059171,1.0003860868235435,,0.16632757795744346,0.58631479895465
