parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.1980896378595123,0.055512539720004035,0.0011063429161894272,2518.595267547838,4102.376234748327,1.0012505508347194,,-1.3052013852073006,-1.088779411509886
beta0[2],-6.507920592646518,1.960308083301853,0.07636206678976619,1054.8994202158788,909.792251230198,1.002508579051812,,-10.033575020279377,-4.421126030281943
beta1[1],0.9017025737679107,0.09178445666016898,0.002048381493331387,2012.4911758902776,3308.6432616398524,1.001897630472194,,0.7235266368285341,1.0828177413006805
beta1[2],11.245789978038413,7.486254520397259,0.399218186332298,843.8905118083401,492.63736393084844,1.0029303080149221,,6.8993684410619975,18.426378253498036
beta2[1],0.2327107224444021,0.086102887057251,0.0016190674049216666,2813.891098882525,4044.87920981121,1.0000799987380435,,0.06041749607636485,0.3968151654347606
beta2[2],0.15304665282292226,1.5649019909772497,0.027856296181551065,3919.3915064071125,2678.180381945642,1.0021905037872338,,-3.334068924508075,3.106431751851657
beta3[1],0.9766718520682613,0.1424964650256922,0.0026035524736095685,2984.0124443902055,3574.853878552538,1.000028905714693,,0.7133459926471646,1.2707812298821033
beta3[2],1.9989147540890146,3.02961396793196,0.07119965355086531,2869.497371012272,1828.7726311312576,1.0013045456452552,,-2.7654735062937754,8.284527865452638
trans[1, 1],0.9883291532258449,0.0024997520174153,5.008339901842751e-5,2426.4931910109667,2896.092574699462,1.0003084047737292,,0.983563552473627,0.9933391133764342
trans[2, 1],0.01167084677415499,0.0024997520174153,5.0083399018427364e-5,2426.4931910109703,2896.0925746994626,1.0003084047737292,,0.006660886623565787,0.016436447526372966
trans[1, 2],0.028033564901309434,0.004160027444190284,9.532538116659056e-5,1905.9759250802713,3259.443489660764,1.0014022741579744,,0.019977890571598253,0.03634434830991787
trans[2, 2],0.9719664350986905,0.004160027444190284,9.53253811665902e-5,1905.975925080269,3259.4434896607604,1.0014022741579744,,0.9636556516900822,0.9800221094284017
init[1],0.8609286699506671,0.05003541483197795,0.0007865431660319647,3943.922411237636,3574.7786931570063,1.000996759375956,,0.7630671742886972,0.9572000173671018
init[2],0.13907133004933292,0.05003541483197795,0.0007865431660319648,3943.9224112376423,3574.778693157003,1.000996759375956,,0.04279998263289819,0.23693282571130286
pdd[1],0.2319622529985394,0.009887921767574975,0.00019711359599329322,2518.595267547838,4102.376234748327,1.0012505508347194,,0.21329093384757677,0.2518481928393628
pdd[2],0.003052511868306935,0.0024956230644562066,6.371466441069957e-5,1054.8994202158788,909.792251230198,1.0019277870286465,,3.632318726175488e-18,0.007756256991816917
pdc[1],0.2760606877131725,0.015167049344494518,0.00021366246119765598,5059.942279261865,5360.113548796822,1.0000789057394046,,0.2465562258500419,0.3059438247995658
pdc[2],0.0049347406507847715,0.004793498514097581,0.00010881272371154268,1124.6113449778911,1089.0780384244385,1.0015771097570563,,1.2587397087617683e-15,0.014291840829594053
pcd[1],0.4265189912971672,0.01610292862149554,0.00026472884244465927,3691.107609867767,4539.103265654766,1.0017428585945032,,0.39510017749603427,0.4579119203868443
pcd[2],0.9738509770016333,0.01628031083827978,0.00045977989766254163,954.2755065762778,534.4266940736661,1.0016700496077067,,0.9449139932862438,1.0
pcc[1],0.7131763654674982,0.020459385217302214,0.0002470578030211322,6933.082078266841,5398.979321617672,1.000546153695638,,0.6742401406986516,0.7534557197577144
pcc[2],0.9932781018132644,0.006885585319059894,0.000133847380648891,1092.6110287874976,712.2183037255373,1.0018868520567086,,0.9797140642323388,1.0
