parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.0170793311284678,0.0572453596541298,0.0007910685812154337,5233.140189670029,5504.403948140364,1.0001578038836605,,-1.1321057411863416,-0.9081368642791101
beta0[2],-3.691909701788371,0.18113449858968672,0.002307355205118517,6273.5876518360365,5482.55009461711,1.0003574722353654,,-4.055753774730692,-3.345012564210737
beta1[1],1.5028039104048938,0.07409210580065921,0.0010474777440890404,5004.444661450688,5760.774118974515,1.0006288122687574,,1.355745966319617,1.6453691549581326
beta1[2],1.94862700903633,0.4135241900714162,0.005187614604440169,6464.3052436787,5633.730608244707,1.0007159281003273,,1.098450777762288,2.7219837309986796
beta2[1],0.21408167948779486,0.09748445508540514,0.0016419865725818287,3535.123553951309,3218.372256566653,1.0016456598921628,,0.025063103922666186,0.40617800211188404
beta2[2],0.2969244277336645,0.26602859672106555,0.0032409857034834304,6730.198483043064,5497.815785298959,1.000573418259036,,-0.21014752744169746,0.8218517025803296
beta3[1],0.8238080616463453,0.1450636812343506,0.0022584924382688825,4131.6298986647025,4866.400297705992,1.0010039561876591,,0.5439334252546228,1.1107153611766512
beta3[2],0.964397091334235,0.609148659764374,0.007970403877065645,5864.69940398113,5300.959644142801,1.0002295701519832,,-0.2132368124120529,2.1784647969213355
trans[1, 1],0.9984201208102225,0.0007760086806945642,8.416747565002298e-6,7245.441210448024,3958.3076574655497,1.0003451020033216,,0.9968487933034916,0.9996987628950577
trans[2, 1],0.0015798791897775931,0.0007760086806945644,8.416747565002211e-6,7245.441210448027,3958.3076574655497,1.0003451020033216,,0.00030123710494230315,0.0031512066965083685
trans[1, 2],0.011091964074174215,0.0021192207475584602,2.330725510198648e-5,8166.217639299607,6003.5568784074085,1.0003086308265738,,0.007160334393552681,0.015335971799485315
trans[2, 2],0.9889080359258258,0.0021192207475584602,2.3307255101986345e-5,8166.217639299598,6003.5568784074085,1.0003086308265738,,0.9846640282005147,0.9928396656064473
init[1],0.8183530365286968,0.05295670435074841,0.0006248959729691033,6949.467796276358,5012.2273027216115,0.9998884184316916,,0.7128529813774327,0.9166216214240841
init[2],0.18164696347130305,0.05295670435074842,0.0006248959729691033,6949.467796276361,5012.227302721609,0.9998877555349119,,0.08337837857591585,0.28714701862256736
pdd[1],0.2657463204235361,0.011169017694828877,0.0001543359988098979,5233.140189670029,5504.403948140364,1.000152362213112,,0.24377270321361258,0.2873812436943797
pdd[2],0.024684859188019194,0.0042819518569333125,5.367560134404292e-5,6273.5876518360365,5482.55009461711,1.000274220994604,,0.016078682703541302,0.03275847237560304
pdc[1],0.3096881884946088,0.01845871567627327,0.0002629295251374284,4923.142790411985,4977.821452984583,1.0009331863602065,,0.2737009568184348,0.3457848962033655
pdc[2],0.03304811103673089,0.006352026629539267,6.411108540502139e-5,9740.55384337078,6752.702363843038,0.9998748366051052,,0.021172194103135197,0.04590979545672409
pcd[1],0.6190259026239701,0.01200718061267845,0.00012487789053321785,9250.417529112565,7005.034968593728,1.0006292880215177,,0.596074608019707,0.6427017097573768
pcd[2],0.1556696339470141,0.04949027677844078,0.0005846585754840349,6969.217079790265,5591.57284688915,1.000941962514997,,0.06296645217663442,0.2555170234656937
pcc[1],0.8206242794275024,0.014291472268691287,0.00015570194006971018,8388.708134322862,6947.182447965859,1.0005452587038632,,0.7935245041213947,0.8491856647919954
pcc[2],0.3885311685725783,0.11180337746814985,0.0011231010708258465,9779.477803974118,6192.297175377477,1.0005582153814805,,0.17861732222652385,0.6120132802539837
