parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-1.118232444650245,0.1550218347735306,0.020828159176327313,68.55200119564319,83.99446221884439,1.8396920723254955,,-1.5138658421321944,-0.8995639218379098
beta0[2],-4.893212310045578,1.9064787116414543,0.207248136651008,75.59488491082982,645.969914395486,1.6601088622411075,,-8.469454446971806,-3.239951230462866
beta1[1],1.4203975191910991,0.5403182603387762,0.07652181557432872,63.195075476963616,83.5196511950818,2.052761642376925,,0.7062409716732873,2.874374912837271
beta1[2],5.369196175409805,6.121794978947891,0.632830200622302,71.93254607070661,501.88039203564193,1.7367064544912503,,0.7364189011944757,13.050866002622444
beta2[1],0.218213567041194,0.09281609159799405,0.0009415223918380544,9731.70072266664,12007.463537892527,1.0076132582734627,,0.04005748033727605,0.4028117366537859
beta2[2],0.1900196040707953,1.1102092129621153,0.018269041985327042,8627.124621074907,531.123263393109,1.2545726624795872,,-2.438841874015337,2.337388783962835
beta3[1],0.9268417101235528,0.44985070782687536,0.023456668276682933,237.41582428072832,154.31178358073126,1.1262785680534748,,0.4965170485811119,1.307622782180379
beta3[2],1.3825051937624235,1.963397645803257,0.06584439983779251,2019.4464975589328,711.9876220523099,1.1327806401307339,,-1.5012716096785697,5.308704686302284
trans[1, 1],0.9560022730549321,0.12956557613115377,0.018558653741773942,66.86369944522154,83.40362946126993,1.890471354634663,,0.5416839102449309,0.9999639163166459
trans[2, 1],0.04399772694506773,0.12956557613115377,0.018558653741773942,66.86369944522154,83.40362946126993,1.890471354634663,,3.608368335406009e-5,0.4583160897550691
trans[1, 2],0.09704403538253784,0.2648651439034074,0.03821203063396877,66.93700920688288,83.37701068313086,1.8900314634211504,,0.005622327650434467,0.9774834565311821
trans[2, 2],0.9029559646174621,0.2648651439034073,0.03821203063396877,66.93700920688288,83.37701068313086,1.8900314634211504,,0.02251654346881793,0.9943776723495655
init[1],0.8451401641158103,0.06515389496297865,0.005853998004234961,135.66303881344064,92.7138485746205,1.2485675303093735,,0.7419770636498398,0.9999861544530199
init[2],0.1548598358841896,0.06515389496297865,0.005853998004234964,135.66303881344064,92.7138485746205,1.2485675303093735,,1.3845546980140178e-5,0.25802293635016016
pdd[1],0.24747572420589453,0.027412101460182414,0.003653882371880467,68.55200119564319,83.99446221884439,1.8396920723254955,,0.17851176736331284,0.28703083598335993
pdd[2],0.01565893718361425,0.01130428056949676,0.001542699286546856,75.59488491082982,645.969914395486,1.6601088622411075,,3.632318726175488e-18,0.03057996719004542
pdc[1],0.2902692096093264,0.032764900841953735,0.00405341456997802,78.66740989181989,83.88162353297125,1.6094917000699984,,0.20951439363141777,0.3457521375490102
pdc[2],0.021177923446951765,0.015173874628511573,0.002026194659411452,75.7350116924386,565.2154953607453,1.657042253850069,,1.2587397087617683e-15,0.04196300804409056
pcd[1],0.5700290422028857,0.11402030396748886,0.01628050804470111,63.137656591893666,83.20321106023277,2.0520054733843196,,0.3919130551311447,0.7973653025134164
pcd[2],0.4379838526592535,0.3826962200434041,0.05490708938816129,72.82956566055579,452.83389508314605,1.7170757658404887,,0.09160848310279586,1.0
pcc[1],0.7948103470664387,0.06847070295454244,0.00953835278386462,63.15546974023979,83.43732055371125,2.0495631078576717,,0.6744820732095632,0.94100034624567
pcc[2],0.6074338216192908,0.2914911855961559,0.04025839420714506,72.29830249940765,474.3060419097062,1.7291483330460422,,0.23602933636190818,1.0
