parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0[1],-0.7024768541113982,0.08517474711163156,0.00901698442033721,88.99729430793353,1817.1620747729855,1.050841822621298,,-0.8694975595191566,-0.5376370975637987
beta0[2],-4.135391044992307,0.3783990146674591,0.11061446868107372,13.138915580427106,165.24543751331993,1.386040905913006,,-4.869118027339222,-3.5217707503975046
beta0[3],-2.16178815145294,0.48257089170779854,0.1774916820176059,10.10451641529271,86.98916081170371,1.6107532361217018,,-3.104192647811103,-1.5036354598097192
beta0[4],-2.761892153068174,0.5298368684325789,0.16026402463037015,11.68892373068109,92.63680066690144,1.46284851052703,,-3.749644488984413,-1.841803874799388
beta1[1],0.29580069407778453,0.14909193547754152,0.0324856338666523,21.53410515833052,117.49259418122271,1.2059389120814936,,0.010527623175210263,0.5784827958355298
beta1[2],4.780513040932055,1.9725009461427963,0.7607244051882492,9.9382016525048,89.90962247188557,1.6333406695919155,,2.3049848798758243,8.215183975580965
beta1[3],2.5066013448427347,1.9946457234999617,0.778918819891481,10.184064620056088,74.3223703117509,1.6140892437177627,,-1.1422377650462903,4.414096847676444
beta1[4],0.6083549927164417,1.508407599184931,0.5450083998697818,10.11200911532246,82.3687471196446,1.6146731345687382,,-1.7337257569980464,3.096247589042584
beta2[1],-0.7027007169052698,0.1382286520329709,0.002996906833997299,2128.3658269013285,2325.563701222877,1.0015489619108242,,-0.9694544847708665,-0.4419302084495504
beta2[2],-0.298694429237691,0.5582720927616572,0.01559850808148092,1294.3498769113305,1923.9902720005064,1.0034464603557145,,-1.385509936213535,0.7577533812110293
beta2[3],1.4485752030382166,0.4883513993623923,0.14717012920536635,12.224510431186866,85.62010902838647,1.4338271950559194,,0.4905182967933866,2.286561001685115
beta2[4],3.7323577965442016,0.7048823769222785,0.11459626186456223,30.979628628848975,365.84174228399775,1.1269096892315422,,2.4976262142123757,5.168092700005514
beta3[1],1.734013425567085,0.1897098864655355,0.004528837127953714,1748.1415967019702,2189.1398330207794,1.0094417078251379,,1.3870467110650744,2.1273230293265777
beta3[2],1.6870135875034875,0.790857168866819,0.027834812214516804,1015.1878673605216,742.1236512729153,1.007279106343482,,0.22916326056535222,3.1230341369292867
beta3[3],-0.16590687874974125,0.6738016733210872,0.040863434329515426,401.87197426963576,80.59080874110877,1.05791912959795,,-1.3720652323071805,1.3621677582682385
beta3[4],0.955683308874477,0.908860662734668,0.053415366618202696,235.71628102407894,2046.123077865402,1.024358668854983,,-0.9574195133358206,2.6358497434824057
trans[1, 1],0.9923445995244202,0.002522320549438026,5.6266530838847014e-5,2060.2751068989587,2351.8255636765584,1.0096810740498077,,0.9872537968975629,0.9968419048466389
trans[2, 1],0.003830165005564806,0.0018556951060251672,0.00024324322308455726,59.203901461725025,1442.264053880332,1.067612400012057,,0.0007097401228596519,0.007479270546165928
trans[3, 1],0.0017159565465984879,0.0012154221597353773,0.00019792007891420547,30.587285973537114,317.69958984488915,1.127996966310081,,3.344930112381128e-5,0.00407173769694383
trans[4, 1],0.002109278923416556,0.0016578898668411228,4.285483606427639e-5,1957.054846355917,1787.4145452010293,1.0072329955756474,,7.133855043572485e-6,0.005327562534791782
trans[1, 2],0.010161385650697708,0.002691050665092847,0.0002977296164594,88.06739448391107,768.5266303128507,1.0472835691629998,,0.005136476137218158,0.015402039651577284
trans[2, 2],0.9834456827284079,0.004028309700351784,0.0010262314113125568,16.49217165030995,85.62580989005146,1.2771169053242517,,0.9753415737326296,0.9905693976663714
trans[3, 2],0.001886038942370431,0.0015536097894947164,0.0003305456327263898,26.452124224827987,93.20836016809609,1.1562579326125255,,3.8946827558339336e-5,0.005105950808822702
trans[4, 2],0.004506892678524041,0.002310054586055007,0.00035640584025067434,45.14957733258696,223.18711273492568,1.0876230634267035,,0.0003660077436274104,0.009061829863936036
trans[1, 3],0.01418605264237739,0.004770734089140683,8.134773000502066e-5,3303.2894072810586,1705.3528969532024,1.01580355544764,,0.005973162451275439,0.024271913051753982
trans[2, 3],0.005817488185396253,0.007173852394135598,0.002133008121892105,11.923687961769081,75.28141171900916,1.4519802314360277,,1.4332644006409545e-5,0.02148394319616065
trans[3, 3],0.9760324611326244,0.008471118142028685,0.0023653182080445555,13.92442972167766,79.11835944408449,1.3478472671157093,,0.9577678628946006,0.9884548584037177
trans[4, 3],0.003963998039601866,0.0026538135756523835,0.00011142088673393915,3114.807048140578,746.5928277607348,1.0137122059626513,,0.00012863586321027221,0.009234134497803331
