parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,lower,upper
beta0_raw[1],-0.21325386486561043,1.0612240425114619,0.35751078495299055,10.442947620836518,59.22261291240607,2.105438985481688,0.018807785415539274,-1.6943020580531758,1.4112248480145158
beta0_raw[2],-1.4336185704039486,1.5166990409660206,0.5271860229230324,9.718475862608928,60.829047891516076,2.4127957326060008,0.017503009229438714,-3.90412951724623,1.3129323118414515
beta[1, 1],3.6355071269187915,2.3165651720341245,0.8138187910007579,14.274490358367922,75.4494652241765,1.5274324044193797,0.02570840736964863,2.006203442691186,8.067888151194541
beta[2, 1],0.8594878680243386,0.37344622925093884,0.09977797279018896,19.792762462898807,62.13113512170358,1.3563287538277151,0.03564683484959605,-0.06168642794496379,1.2908063935407212
beta[3, 1],-0.4132594795765368,0.7782523463387093,0.23920576216320902,14.858077751990995,59.066927581349226,1.4917339066194828,0.026759450319301707,-1.1821549001215537,1.4106690800272226
beta[1, 2],2.4093119797058193,0.5224729635999238,0.11783955462412392,21.1486192473625,1879.6170525121872,1.2831164860360218,0.038088737689893314,1.5925355775686896,3.3991234278993803
beta[2, 2],0.9895999301591478,0.4459580129781774,0.040210708078721465,146.81505247612952,1278.9874455465085,1.100452159734123,0.26441442617529803,0.03121928291183769,1.8167934614573438
beta[3, 2],-0.6736942881177704,0.5046195626116753,0.06524138717825302,64.68489201135013,1973.948843731916,1.0832459687724552,0.11649771814898285,-1.5291212376312855,0.4099281670326551
trans[1, 1],0.9928028611133647,0.009944132454182408,0.003456436503447204,14.29261107023329,61.79240029939096,1.5304651745785793,0.025741042835487858,0.9728229914153973,0.9998032283800317
trans[2, 1],0.007197138886635384,0.00994413245418241,0.0034564365034472065,14.29261107023329,61.79240029939098,1.530536871002628,0.025741042835487858,0.00019677161996833892,0.027177008584602702
trans[1, 2],0.010868918309019801,0.002203918186435833,0.0001510330550922843,201.15039565937562,438.7449601258122,1.0306359310529296,0.3622725704631382,0.0066703179169742555,0.015262592803910274
trans[2, 2],0.9891310816909801,0.0022039181864358334,0.000151033055092262,201.15039565937573,438.7449601258122,1.0306359310529296,0.3622725704631384,0.9847374071960897,0.9933296820830257
init[1],0.6540812880569985,0.2926646702099385,0.10206305406466315,14.266374964687193,57.140286495124194,1.5284888375217478,0.02569379151707026,0.10229891549519023,0.910455044791015
init[2],0.3459187119430016,0.2926646702099385,0.10206305406466314,14.266374964687193,57.14028649512454,1.5284888375217478,0.02569379151707026,0.08954495520898498,0.8977010845048098
pcc[1],0.14429184023269764,0.06625024542480262,0.02296553509638288,14.292392963732956,61.01029717727567,1.5283731379416916,,0.019760159413421366,0.20795434776147803
pcc[2],0.5784900512808036,0.18428876949117284,0.05874151091733556,14.34883142489037,57.713092655426145,1.5328813230340452,,0.2553664401973851,0.8158189994805661
pcd[1],0.2969386864973324,0.1455457397530938,0.051295190910651475,14.18673401712482,59.27229180492831,1.528458409518545,,0.029997700473790027,0.40370251126115336
pcd[2],0.7726279016580666,0.11860967946649209,0.03932751819807021,14.398441839691513,59.73712773655505,1.5183489551309282,,0.5574764170010164,0.9091821821944346
pdc[1],0.7630993988328545,0.12829203341533876,0.04505353801798634,14.271221989554455,54.71979907134343,1.5286730436911047,,0.6620219348804978,0.9932742020348936
pdc[2],0.9052460437964789,0.10518892861663733,0.037049027303414736,14.234233701900722,54.336574975064146,1.5283811210833869,,0.7076073637729478,0.978528834503983
pdd[1],0.7995804553929107,0.11281880668276131,0.03975635087029197,14.179531550334683,60.20716874258393,1.5288128972396384,,0.7174711316269499,0.9987556390433068
pdd[2],0.9226229523630994,0.09218307285923116,0.032521606952243536,14.267902488736626,60.52368594293648,1.5287361541653823,,0.7526007908820939,0.9843321133465135
beta0[1],-1.9966379081593888,0.8682140915885869,0.2998964715414119,14.292392963732956,61.01029717727567,1.528402100091658,,-3.7752101254824453,-1.2711350846590128
beta0[2],0.3497654728898298,0.8149326162376848,0.25395651319119317,14.34883142489037,57.713092655426145,1.5328813230340452,,-1.0701926973223848,1.488273543427725
